"feature_id","TIC","norm_TIC","actual_mz","actual_rt","sample_name"
"0_0",48791.730758667,197698.469914511,71.0137634277344,1.27348333333333,"LA20b_DN1730_polar"
"1001_0",2871.35040283203,11634.3809166366,323.090942382812,6.62351666666667,"LA20b_DN1730_polar"
"1029_1",16609.5986328125,67300.1794472704,329.050933837891,6.90061666666667,"LA20b_DN1730_polar"
"1031_0",2643.72622680664,10712.0739884739,329.092163085938,2.75395,"LA20b_DN1730_polar"
"105_2",36635.9948425293,148444.828899155,133.012664794922,5.34491666666667,"LA20b_DN1730_polar"
"106_0",9055.87294006348,36693.3534874197,133.048782348633,1.99226666666667,"LA20b_DN1730_polar"
"108_0",36563.3433532715,148150.453437577,134.048202514648,1.51126666666667,"LA20b_DN1730_polar"
"1111_0",18127.8378295898,73451.9096995079,343.108428955078,1.10361666666667,"LA20b_DN1730_polar"
"112_0",12889.3386993408,52226.1149470894,135.024871826172,5.30726666666667,"LA20b_DN1730_polar"
"113_3",32508.9709472656,131722.603704278,135.046371459961,6.90775,"LA20b_DN1730_polar"
"1277_0",6407.86196899414,25963.918208999,380.843597412109,3.50131666666667,"LA20b_DN1730_polar"
"13_4",10315.3115844727,41796.4537275495,96.9550476074219,9.458,"LA20b_DN1730_polar"
"1318_0",45577.2119140625,184673.61002108,387.165496826172,1.94581666666667,"LA20b_DN1730_polar"
"1324_0",3575.7932434082,14488.7021214528,388.176147460938,1.95296666666667,"LA20b_DN1730_polar"
"142_2",755026.172607422,3059279.03660975,144.066757202148,5.89023333333333,"LA20b_DN1730_polar"
"1449_1",5162.13110351562,20916.3603093105,415.148223876953,7.71088333333333,"LA20b_DN1730_polar"
"145_2",22085.6954956055,89488.6928294386,145.065902709961,5.89023333333333,"LA20b_DN1730_polar"
"1458_0",2253.46276855469,9130.77143248181,417.096862792969,4.94255,"LA20b_DN1730_polar"
"147_0",6256.16580200195,25349.2628229339,146.048736572266,1.95296666666667,"LA20b_DN1730_polar"
"147_1",4508.53363037109,18268.0586735316,146.044998168945,4.0396,"LA20b_DN1730_polar"
"1489_0",3938.18707275391,15957.0801530187,425.087615966797,2.85235,"LA20b_DN1730_polar"
"150_0",28547.8299102783,115672.51673357,147.030700683594,3.36191666666667,"LA20b_DN1730_polar"
"157_0",917669.145797729,3718289.61979877,149.009490966797,6.13518333333333,"LA20b_DN1730_polar"
"157_1",6082577.98400879,24645904.9899685,149.009414672852,7.04191666666667,"LA20b_DN1730_polar"
"157_2",142305.91809082,576607.17971841,149.009414672852,9.27381666666667,"LA20b_DN1730_polar"
"159_1",20854.3699798584,84499.5037466829,149.046188354492,4.12726666666667,"LA20b_DN1730_polar"
"161_1",59009.2679443359,239098.753046353,150.00830078125,7.0705,"LA20b_DN1730_polar"
"1684_0",1357.43389892578,5500.16571773377,464.802551269531,3.54253333333333,"LA20b_DN1730_polar"
"171_0",5423.1463470459,21973.9639947697,153.019409179688,1.24131666666667,"LA20b_DN1730_polar"
"1887_0",301728.0078125,1222567.11429096,503.159454345703,8.28123333333333,"LA20b_DN1730_polar"
"1898_0",22089.3240966797,89503.3955028045,504.167053222656,8.2848,"LA20b_DN1730_polar"
"1910_3",2762.35795593262,11192.7560828952,505.17333984375,8.2848,"LA20b_DN1730_polar"
"2_4",34238.663269043,138731.117649595,87.0040664672852,7.06693333333333,"LA20b_DN1730_polar"
"207_0",6349.41313171387,25727.0902564153,160.062271118164,2.65388333333333,"LA20b_DN1730_polar"
