"feature_id","TIC","norm_TIC","actual_mz","actual_rt","sample_name"
"0_0",43077.1081085205,201521.073861881,71.2439422607422,1.0918,"M40d_DN1487_polar"
"0_3",59257.5852813721,277215.735798246,71.0148010253906,7.03811666666667,"M40d_DN1487_polar"
"100_0",4634.84094238281,21682.4704558859,131.034622192383,1.12755,"M40d_DN1487_polar"
"1001_0",2442.44836425781,11426.1341772865,323.097717285156,6.68758333333333,"M40d_DN1487_polar"
"103_1",2795.65087890625,13078.4677058826,132.068161010742,6.13496666666667,"M40d_DN1487_polar"
"1040_1",292002.328125,1366030.0172815,331.064697265625,3.35596666666667,"M40d_DN1487_polar"
"1045_0",12398.1647338867,58000.4457308304,332.067443847656,3.35596666666667,"M40d_DN1487_polar"
"105_1",84636.6669921875,395942.828320512,133.013076782227,4.02838333333333,"M40d_DN1487_polar"
"105_2",11223.8825836182,52506.9804001772,133.01286315918,5.15136666666667,"M40d_DN1487_polar"
"1056_1",6568.53234863281,30728.5644444448,333.058563232422,9.12143333333333,"M40d_DN1487_polar"
"106_0",3381.72645568848,15820.2158125531,133.04866027832,2.16148333333333,"M40d_DN1487_polar"
"108_0",15014.8516845703,70241.6937490052,134.047241210938,1.55336666666667,"M40d_DN1487_polar"
"1087_0",13207.2286682129,61785.3663076153,338.064331054688,1.58743333333333,"M40d_DN1487_polar"
"1104_1",2036.38241577148,9526.49769770759,341.102111816406,6.14926666666667,"M40d_DN1487_polar"
"1104_2",7941.02697753906,37149.2970244981,341.100219726562,7.91623333333333,"M40d_DN1487_polar"
"1122_0",146573.180999756,685690.988355374,345.069915771484,1.35486666666667,"M40d_DN1487_polar"
"1122_1",159837.300384521,747742.497837308,345.070404052734,1.886,"M40d_DN1487_polar"
"1125_0",38060.6838378906,178053.500239775,345.573150634766,1.886,"M40d_DN1487_polar"
"1169_1",1723.37762451172,8062.21505599271,355.088714599609,9.59918333333333,"M40d_DN1487_polar"
"12_0",4326.29086303711,20239.0276144289,96.0407028198242,7.03811666666667,"M40d_DN1487_polar"
"1248_0",3646349.58660889,17058161.9016321,373.112091064453,1.4068,"M40d_DN1487_polar"
"1252_0",324112.172851562,1516244.61326909,374.115966796875,1.4068,"M40d_DN1487_polar"
"1254_0",7019.64096069336,32838.9171566503,375.052520751953,1.92176666666667,"M40d_DN1487_polar"
"1277_0",4177.04339599609,19540.8259210027,380.842712402344,3.59566666666667,"M40d_DN1487_polar"
"1293_0",3908.14753723145,18282.8913800221,383.047943115234,2.82841666666667,"M40d_DN1487_polar"
"1306_1",3014.42852783203,14101.9418591947,385.113800048828,3.75481666666667,"M40d_DN1487_polar"
"1316_1",679.31103515625,3177.91735104512,387.117156982422,5.74158333333333,"M40d_DN1487_polar"
"1317_0",40389629.703125,188948652.963256,387.128479003906,1.0453,"M40d_DN1487_polar"
"1318_0",30933.3659667969,144710.854593289,387.162750244141,2.13288333333333,"M40d_DN1487_polar"
"1323_0",7269043.49121094,34005659.0290889,388.131866455078,1.0453,"M40d_DN1487_polar"
"1324_0",26634.3760986328,124599.545065005,388.175018310547,1.24046666666667,"M40d_DN1487_polar"
"1328_0",986924.75302124,4616979.75520259,389.133483886719,1.0453,"M40d_DN1487_polar"
"1329_0",2542.79580688477,11895.5743343772,389.171356201172,2.14003333333333,"M40d_DN1487_polar"
"136_1",1881.44415283203,8801.67362058536,142.052810668945,4.02125,"M40d_DN1487_polar"
"136_2",5434.20956420898,25422.0349288789,142.051605224609,7.00595,"M40d_DN1487_polar"
"1366_0",12277.8656311035,57437.6687608347,397.172973632812,3.00905,"M40d_DN1487_polar"
"1366_1",9905.87292480469,46341.1365571944,397.170654296875,3.96406666666667,"M40d_DN1487_polar"
"142_2",27561.1291046143,128935.03250069,144.066253662109,5.9222,"M40d_DN1487_polar"
"145_2",4097.97827148438,19170.9475912762,145.060470581055,6.53198333333333,"M40d_DN1487_polar"
"1599_0",32106.5699462891,150199.276081813,447.096527099609,1.32981666666667,"M40d_DN1487_polar"
"1607_0",4091.65213012695,19141.3529676878,448.090972900391,1.34055,"M40d_DN1487_polar"
"1613_0",11406.0669555664,53359.265799266,449.111755371094,2.38138333333333,"M40d_DN1487_polar"
"1674_0",113073.786621094,528975.873870347,463.086791992188,1.8288,"M40d_DN1487_polar"
"1681_0",10895.1795654297,50969.2591343924,464.090240478516,1.81093333333333,"M40d_DN1487_polar"
"1766_0",23300.0803222656,109001.216975434,479.233123779297,1.12755,"M40d_DN1487_polar"
"1783_0",447321.69921875,2092636.97463604,483.075408935547,3.33095,"M40d_DN1487_polar"
"1790_0",36855.7387695312,172416.589249635,484.078430175781,3.33095,"M40d_DN1487_polar"
"1848_0",3258.39031982422,15243.2311532597,495.117736816406,1.74468333333333,"M40d_DN1487_polar"
"1887_0",536044.470703125,2507695.20325462,503.161163330078,8.28815,"M40d_DN1487_polar"
"1898_0",45982.3216552734,215112.091909445,504.166595458984,8.28815,"M40d_DN1487_polar"
"1910_3",5478.52758789062,25629.3611890647,505.166534423828,8.2953,"M40d_DN1487_polar"
