"feature_id","TIC","norm_TIC","actual_mz","actual_rt","sample_name"
"0_1",47639.2271118164,230120.981130327,71.0139389038086,2.7077,"LA18_DN671_polar"
"100_0",6117.26800537109,29549.4238798006,131.035797119141,1.03215,"LA18_DN671_polar"
"100_1",15460.1318969727,74680.0680075089,131.046295166016,6.70241666666667,"LA18_DN671_polar"
"1001_0",19814.87109375,95715.6077776436,323.100341796875,6.62735,"LA18_DN671_polar"
"1008_1",3787.24792480469,18294.2768192744,325.093444824219,2.76846666666667,"LA18_DN671_polar"
"102_2",18202.8921508789,87928.9538291182,132.029144287109,7.62325,"LA18_DN671_polar"
"1030_0",180144.547851562,870187.083421389,329.065765380859,2.05325,"LA18_DN671_polar"
"1031_0",16154.1481933594,78032.5092776011,329.087707519531,1.81548333333333,"LA18_DN671_polar"
"105_1",627596.681976318,3031601.74852428,133.013320922852,4.01856666666667,"LA18_DN671_polar"
"105_2",192150.186889648,928180.24582212,133.012756347656,5.72438333333333,"LA18_DN671_polar"
"105_3",51264.4167633057,247632.436499369,133.00846862793,7.60896666666667,"LA18_DN671_polar"
"106_0",16884.9750518799,81562.7637320739,133.046859741211,2.34293333333333,"LA18_DN671_polar"
"108_0",173517.820465088,838176.719267507,134.046783447266,1.51125,"LA18_DN671_polar"
"1082_0",4087.32507324219,19743.7975608924,337.081359863281,6.57185,"LA18_DN671_polar"
"1104_1",220092.162109375,1063153.77797432,341.107086181641,6.11775,"LA18_DN671_polar"
"1104_2",9805.3828125,47364.8388097225,341.110076904297,7.90225,"LA18_DN671_polar"
"1109_1",9581.19207763672,46281.8869023379,342.113220214844,6.1249,"LA18_DN671_polar"
"112_0",43569.1429443359,210460.465654178,135.02995300293,5.34175,"LA18_DN671_polar"
"112_1",8768.61036682129,42356.7161580161,135.028137207031,7.2656,"LA18_DN671_polar"
"1122_1",1762.55438232422,8514.00764340699,345.061004638672,2.9133,"LA18_DN671_polar"
"113_0",3731.89234924316,18026.8820664302,135.04150390625,1.51483333333333,"LA18_DN671_polar"
"1143_0",4355.68258666992,21040.0968089624,349.188690185547,1.32708333333333,"LA18_DN671_polar"
"1152_0",3539.9497833252,17099.7047323806,351.128234863281,4.19556666666667,"LA18_DN671_polar"
"1157_0",7843.20654296875,37886.5589200142,352.175750732422,1.07503333333333,"LA18_DN671_polar"
"1161_0",1063.70465087891,5138.21849625328,353.088256835938,3.37311666666667,"LA18_DN671_polar"
"1189_0",1959.67144775391,9466.18036417221,359.076293945312,2.09445,"LA18_DN671_polar"
"12_0",22795.3654785156,110112.866794165,96.0443878173828,7.02426666666667,"LA18_DN671_polar"
"126_0",2891.78274536133,13968.7380111429,140.035568237305,1.19843333333333,"LA18_DN671_polar"
"126_1",2168.06147766113,10472.8070675709,140.038192749023,6.52181666666667,"LA18_DN671_polar"
"1277_0",15233.7744140625,73586.6496375757,380.837585449219,3.5573,"LA18_DN671_polar"
"1292_0",2161.56030273438,10441.4031837687,382.841522216797,3.5018,"LA18_DN671_polar"
"13_4",6340.33486938477,30626.9469362517,96.9604339599609,9.40063333333333,"LA18_DN671_polar"
"131_2",10996.1631774902,53116.8957282595,141.01921081543,7.65541666666667,"LA18_DN671_polar"
"1316_1",2842.69976806641,13731.6430040095,387.107879638672,6.13918333333333,"LA18_DN671_polar"
"1318_0",368758.85546875,1781287.28708776,387.1640625,1.9496,"LA18_DN671_polar"
"1324_0",31507.6488037109,152197.495538741,388.172485351562,1.96746666666667,"LA18_DN671_polar"
"1329_0",15597.7467651367,75344.8157458738,389.179534912109,1.9496,"LA18_DN671_polar"
"135_0",7648.45628356934,36945.8190406037,142.017532348633,6.99925,"LA18_DN671_polar"
"136_1",5104.9500579834,24659.4285253019,142.047454833984,3.87013333333333,"LA18_DN671_polar"
"136_2",12723.4569244385,61460.5770985523,142.045104980469,7.02785,"LA18_DN671_polar"
"1360_0",8541.39758300781,41259.1662625531,396.216064453125,5.83516666666667,"LA18_DN671_polar"
"1384_0",2957.38293457031,14285.619304529,401.150909423828,2.48065,"LA18_DN671_polar"
"14_2",5531.35888671875,26719.1936386379,97.0300598144531,7.65541666666667,"LA18_DN671_polar"
"142_2",49974.2510070801,241400.299085667,144.066024780273,5.87995,"LA18_DN671_polar"
"145_2",11551.2329101562,55798.1565131384,145.05061340332,6.53968333333333,"LA18_DN671_polar"
"147_1",3928.1467590332,18974.8877346589,146.041442871094,4.07763333333333,"LA18_DN671_polar"
"147_3",6026.2993927002,29110.0005795284,146.046356201172,7.01355,"LA18_DN671_polar"
