,acreana,acrocephala,acuminata,alata,alba,aria,auristellae,bourgonii,brachyrhachis.aff,brachystachys,brachystachys.aff,brevialata,brevipes,capitata12,capitata33,capitata35,cayennensis,chartacea,cinnamomea,cocleensis,cordatoalata,coruscans,cylindrica,edulis,fastuosa,flagelliformis,fosteriana,glomeriflora,goldmanii,gracilifolia,grandiflora,heterophylla,huberi,ingoides,jenmanii,kursarii,LA17,LA41,LA48,lateriflora,laurina,leiocalycina,leiocalycina.aff,lomatophylla,longiflora,longipedunculata,loubryana,M18,M25,M27,M30,M71,marginata,melinonis,microcoma,multinervis,nobilis,nouragensis,obidensis,oerstediana,paraensis,pezizifera,pezizifera.aff,pitmanii,poeppigiana,punctata,retinocarpa,rubiginosa,ruiziana,sapindoides,sertulifera,setosa,spectabilis,splendens,stipularis,striata,suaveolens,subcapitata,T18,T21,T29,T50,T51,T82,T85,tenuistipula,thibaudiana,tomentosa,ulei,umbellifera,umbellifera.aff,umbratica,velutina,venusta,vera,virgultosa,vismiifolia,Zygia_mediana
brachystachys.aff,0.058807752,0.028491618,0.280193031,0.102245368,0.206895924,0.293281262,0.076864419,0.17724296,0.111184723,0.459160136,1,0.445859738,0.367239852,0.214035561,0.125051949,0.185783784,0.156214304,0.05502255,0.128219606,0.281177016,0.100109839,0.243509603,0.282953301,0.144381787,0.216349135,0.289800989,0.107958062,0.127340039,0.205909172,0.326967174,0.266476129,0.459553026,0.094610283,0.240365965,0.506303586,0.264392042,0.126191782,0.297778205,0.1864169,0.233471939,0.479224012,0.115175654,0.129688408,0.152231228,0.130683674,0.251162351,0.305867212,0.163293281,0.286377948,0.464267307,0.127782508,0.136063764,0.124589057,0.03189575,0.165912669,0.043156662,0.145929977,0.126866419,0.397738066,0.262347805,0.292155258,0.20365663,0.19559923,0.07420661,0.307833156,0.138220502,0.283799259,0.132270861,0.286928626,0.036780503,0.601629637,0.224058121,0.255813716,0.283426657,0.156007854,0.081118667,0.152231563,0.128164924,0.033480329,0.128492881,0.175016981,0.151643972,0.090692129,0.130641804,0.056956618,0.108443434,0.130466369,0.054966479,0.268956789,0.281724446,0.143963403,0.552209188,0.101890105,0.299272117,0.290278296,0.419289964,0.126224917,0.309704974
brevialata,0.066261362,0.036126892,0.233641217,0.104039171,0.198426733,0.227399098,0.08541092,0.236800105,0.128034984,0.41954359,0.445859738,1,0.392275113,0.249089676,0.148978076,0.227964951,0.218131188,0.075863342,0.31464721,0.225951959,0.091682489,0.245857857,0.375244692,0.174938315,0.298974696,0.388614331,0.145791413,0.124599614,0.205801121,0.243271247,0.32043432,0.390847185,0.083121946,0.167827119,0.482828395,0.176934751,0.124514377,0.224835312,0.232835629,0.260869438,0.392987117,0.152689941,0.215732433,0.244772294,0.146884356,0.216110697,0.290489119,0.228806824,0.264877007,0.422367997,0.192553197,0.215091834,0.12325723,0.062574109,0.212735637,0.066586516,0.190835641,0.215957446,0.364702218,0.325540039,0.384069992,0.216706339,0.19543026,0.09610922,0.248012697,0.16024161,0.256893726,0.124082885,0.296167363,0.041015007,0.47661934,0.314079669,0.263346129,0.325516859,0.164274294,0.087502915,0.12729679,0.116155018,0.053384878,0.097854789,0.209942442,0.155115025,0.19866652,0.10724965,0.066851613,0.132742839,0.13776474,0.059003375,0.196661618,0.281591437,0.288525859,0.44293896,0.123592769,0.285993011,0.278647581,0.351247418,0.230812412,0.319563131
brevipes,0.05313031,0.031457778,0.324093764,0.063530245,0.17768915,0.296706577,0.057459637,0.273621283,0.079290155,0.457809806,0.367239852,0.392275113,1,0.170405232,0.096019453,0.144652096,0.213627313,0.062379381,0.189805199,0.337528844,0.073657122,0.229229377,0.223951454,0.133702816,0.282364401,0.306744544,0.197063704,0.110435786,0.284728068,0.201655866,0.357759504,0.43673472,0.056298485,0.248420018,0.534900803,0.218388904,0.111495306,0.199979015,0.220765067,0.403268241,0.315279051,0.121632238,0.13269753,0.264399197,0.100131427,0.260176081,0.179083466,0.215723716,0.274414725,0.440951112,0.366639717,0.245318302,0.094103558,0.036704468,0.417389464,0.052716007,0.202143225,0.134157332,0.503870182,0.35473557,0.268786584,0.145570616,0.28751051,0.081973301,0.249364939,0.140082515,0.285488048,0.09813308,0.27113576,0.036229791,0.41911624,0.228801393,0.231970315,0.296074274,0.118247379,0.053710259,0.128892793,0.117525355,0.038086605,0.062558563,0.19025524,0.138461347,0.119002224,0.085216785,0.085415149,0.190196191,0.121743976,0.073368263,0.277434896,0.260077796,0.316161749,0.376157144,0.17316961,0.265495219,0.28652166,0.298708471,0.211517856,0.297746798
capitata12,0.046342425,0.026158191,0.264173632,0.180338827,0.072410593,0.319615541,0.07976953,0.094417741,0.31352911,0.30300133,0.214035561,0.249089676,0.170405232,1,0.342328802,0.800339292,0.140186211,0.058337492,0.131965511,0.27167883,0.132983328,0.2380913,0.251992477,0.174544053,0.096078498,0.077382097,0.076424358,0.145018457,0.122056949,0.265663457,0.267214455,0.351259324,0.114293383,0.176602845,0.227197085,0.293883865,0.148562553,0.189107001,0.072977168,0.256023853,0.390165973,0.106403042,0.115243017,0.174751027,0.20489715,0.292147049,0.184025831,0.135868589,0.098000596,0.252164332,0.071347509,0.078966115,0.094958179,0.018783619,0.056437614,0.022191439,0.097936054,0.086812944,0.342140724,0.284657861,0.461949725,0.178819549,0.188505193,0.056344945,0.283165912,0.134133727,0.343163242,0.142310172,0.332510952,0.029381349,0.310723688,0.317030392,0.446949102,0.419190394,0.129065673,0.060597923,0.069374248,0.137329994,0.017425836,0.137012665,0.142503575,0.159516956,0.065249457,0.121333244,0.036697117,0.079160933,0.154363876,0.02273037,0.291847304,0.129750335,0.088507759,0.12737002,0.036877968,0.317457804,0.360441162,0.272798556,0.078653484,0.393258655
capitata33,0.046258252,0.033713161,0.17405935,0.295244378,0.076764566,0.238534564,0.098114515,0.097141094,0.849181254,0.194032957,0.125051949,0.148978076,0.096019453,0.342328802,1,0.489188053,0.118778463,0.070148676,0.08297654,0.184017472,0.164248582,0.16449311,0.162223729,0.228553624,0.081043386,0.065902243,0.069117463,0.145812947,0.131049913,0.202260765,0.227476,0.175235934,0.138677598,0.084103512,0.197565797,0.157094424,0.145716996,0.126139617,0.062501466,0.122362067,0.223970999,0.12786745,0.117678758,0.131858095,0.269517135,0.213135528,0.180967861,0.113375023,0.09160555,0.215291621,0.061892966,0.080397758,0.09796999,0.017719394,0.041701341,0.021264747,0.07663166,0.078477253,0.196151832,0.19725749,0.270529352,0.167034913,0.124806495,0.043377775,0.23147772,0.150177886,0.25275607,0.174582847,0.256279031,0.028450946,0.191030674,0.171041092,0.388206812,0.262244661,0.124991194,0.059469177,0.064421766,0.108035196,0.013347763,0.175948089,0.11410083,0.243178315,0.062095609,0.162501079,0.030522157,0.085854238,0.176039119,0.022547187,0.159324267,0.14263195,0.08896238,0.108090451,0.027224885,0.234152187,0.245861293,0.221435628,0.081469248,0.29078998
capitata35,0.044205355,0.028324971,0.251991375,0.259486255,0.074447826,0.320744664,0.083712175,0.093823651,0.458950394,0.290987691,0.185783784,0.227964951,0.144652096,0.800339292,0.489188053,1,0.126930855,0.062752351,0.118260861,0.269318762,0.143755702,0.229406175,0.230750824,0.200388718,0.080831388,0.064931311,0.070989409,0.148512856,0.122149944,0.257780095,0.269177383,0.322948992,0.12335765,0.145572728,0.225234133,0.253159266,0.151608637,0.185056165,0.064016359,0.220614828,0.364354992,0.108093727,0.111578856,0.164968581,0.231932509,0.279747288,0.194165012,0.127388033,0.099081345,0.252188742,0.067400694,0.075957468,0.09059913,0.017622865,0.044035449,0.02060815,0.084551502,0.080692075,0.294825865,0.274930312,0.450549618,0.171760145,0.172890153,0.055572337,0.278882988,0.138529301,0.331230624,0.152169101,0.345343009,0.026710899,0.284291767,0.303149151,0.515848904,0.405039663,0.120148462,0.056216916,0.064884175,0.135136767,0.014000676,0.156631699,0.14320411,0.193107551,0.060971805,0.134029154,0.035437447,0.082923568,0.164896734,0.019856303,0.260085628,0.129101296,0.085698674,0.1212165,0.028104837,0.313238179,0.354656927,0.275802892,0.078371507,0.399148135
cayennensis,0.061164934,0.02235723,0.28807056,0.078129206,0.092381243,0.317536777,0.067498635,0.213720136,0.105774947,0.175729585,0.156214304,0.218131188,0.213627313,0.140186211,0.118778463,0.126930855,1,0.046521594,0.191282122,0.380279388,0.08843829,0.208864417,0.26424406,0.142628032,0.260473179,0.289900066,0.127624514,0.124874703,0.225139361,0.222973353,0.313578541,0.148639465,0.060364047,0.192452873,0.256231088,0.17898727,0.116305874,0.273421021,0.15007057,0.304547416,0.136221,0.135469888,0.247891255,0.462142797,0.13662207,0.36268962,0.08550259,0.434802681,0.144250727,0.277027711,0.298952262,0.163743535,0.128660241,0.051893481,0.288669392,0.051895419,0.256391065,0.185066943,0.206644592,0.37779476,0.27068466,0.17495066,0.198252505,0.068042627,0.246378792,0.155627773,0.23461955,0.140399792,0.249961141,0.052373142,0.191019648,0.359636125,0.333516113,0.227332766,0.17503543,0.090218575,0.263753507,0.121838225,0.056196658,0.057273509,0.192386133,0.087666888,0.154346313,0.114660025,0.228735116,0.102307799,0.17998294,0.073982531,0.246684599,0.118165534,0.229971263,0.219173518,0.178917655,0.302969683,0.268818156,0.106902624,0.168861373,0.263973416
chartacea,0.296311605,0.500554849,0.055699735,0.112936792,0.069778275,0.069463027,0.307350071,0.16342666,0.071332698,0.058823407,0.05502255,0.075863342,0.062379381,0.058337492,0.070148676,0.062752351,0.046521594,1,0.098279758,0.058048085,0.070268262,0.073785607,0.089277374,0.196149298,0.087949612,0.102801582,0.094940882,0.056590841,0.17232371,0.05733181,0.089071034,0.044939497,0.072406835,0.056033241,0.083365322,0.039058607,0.046825844,0.058289597,0.084349891,0.040913921,0.06347171,0.162069969,0.063941597,0.046508057,0.092104659,0.070234725,0.072230566,0.083657893,0.042988215,0.073392333,0.051663208,0.094642105,0.146511531,0.242036062,0.069547498,0.334380265,0.084112563,0.087776255,0.05512061,0.062756252,0.070449389,0.064980781,0.073647815,0.251153077,0.101691476,0.124380467,0.076260429,0.104794817,0.07385483,0.057866479,0.076881574,0.044567813,0.069177758,0.087458722,0.076364055,0.079437326,0.054629742,0.022158915,0.230877162,0.072068128,0.077540732,0.099255494,0.067278715,0.082699099,0.027861652,0.124731015,0.091847455,0.216074747,0.040330003,0.087324524,0.120909318,0.059549422,0.047209098,0.071265343,0.066417091,0.075023551,0.109964159,0.084024009
cinnamomea,0.071979177,0.046340305,0.150002603,0.064033291,0.068806858,0.167819707,0.075025153,0.315349198,0.077241116,0.138141059,0.128219606,0.31464721,0.189805199,0.131965511,0.08297654,0.118260861,0.191282122,0.098279758,1,0.180954618,0.084254657,0.180642362,0.238780756,0.181881188,0.291901514,0.230401886,0.205612902,0.108194875,0.263640882,0.143467357,0.232090366,0.094098581,0.063002423,0.097313981,0.136922373,0.112011504,0.092775695,0.204722738,0.291120521,0.214628933,0.104357803,0.182809265,0.251659125,0.333353708,0.100876893,0.145036321,0.073750818,0.144731497,0.057220287,0.168527908,0.22697718,0.209277334,0.098878435,0.074381937,0.235666924,0.092653916,0.262077052,0.153146469,0.139135567,0.290355744,0.288452196,0.145259449,0.116725093,0.207841023,0.169272355,0.160842835,0.162864121,0.117284476,0.225216595,0.045746074,0.147583579,0.2457882,0.163450236,0.253217515,0.165760247,0.075235101,0.198051862,0.066623944,0.090870316,0.086498976,0.124489683,0.11029356,0.211249082,0.123656876,0.140429587,0.290163602,0.124077156,0.079919641,0.123361252,0.129852061,0.387945542,0.159715755,0.147794762,0.163724777,0.228725218,0.093220378,0.309662226,0.218704826
cocleensis,0.055731527,0.026761065,0.58562955,0.112206205,0.088156114,0.637495013,0.078701932,0.223428451,0.161410878,0.272216667,0.281177016,0.225951959,0.337528844,0.27167883,0.184017472,0.269318762,0.380279388,0.058048085,0.180954618,1,0.093796069,0.421341375,0.331492481,0.167623927,0.215103321,0.115772341,0.158715888,0.136332138,0.231503156,0.329153651,0.462502287,0.260681415,0.081482539,0.341332672,0.374340405,0.339457933,0.13251254,0.460781243,0.175851763,0.343860957,0.279683779,0.143054319,0.229802124,0.300698721,0.19271494,0.646544462,0.085909799,0.240867976,0.135544323,0.35615497,0.355362138,0.171973207,0.123328824,0.066826687,0.236670421,0.062815427,0.133090735,0.182399978,0.332957855,0.605918468,0.44343664,0.170772057,0.315809613,0.093730834,0.420822105,0.163868333,0.515055321,0.177148848,0.519705931,0.041385112,0.341829001,0.570721935,0.391043425,0.547745875,0.150997862,0.069083877,0.307962907,0.177505089,0.06348773,0.083079884,0.268556738,0.12526599,0.171115311,0.122912684,0.26901467,0.130119694,0.183365189,0.123381338,0.50963994,0.130942325,0.221061533,0.192612104,0.145251048,0.487413089,0.616337736,0.19681102,0.19911901,0.375224218
