,acreana,acrocephala,acuminata,alata,alba,aria,auristellae,bourgonii,brachyrhachis.aff,brachystachys,brachystachys.aff,brevialata,brevipes,capitata12,capitata33,capitata35,cayennensis,chartacea,cinnamomea,cocleensis,cordatoalata,coruscans,cylindrica,edulis,fastuosa,flagelliformis,fosteriana,glomeriflora,goldmanii,gracilifolia,grandiflora,heterophylla,huberi,ingoides,jenmanii,kursarii,LA17,LA41,LA48,lateriflora,laurina,leiocalycina,leiocalycina.aff,lomatophylla,longiflora,longipedunculata,loubryana,M18,M25,M27,M30,M71,marginata,melinonis,microcoma,multinervis,nobilis,nouragensis,obidensis,oerstediana,paraensis,pezizifera,pezizifera.aff,pitmanii,poeppigiana,punctata,retinocarpa,rubiginosa,ruiziana,sapindoides,sertulifera,setosa,spectabilis,splendens,stipularis,striata,suaveolens,subcapitata,T18,T21,T29,T50,T51,T82,T85,tenuistipula,thibaudiana,tomentosa,ulei,umbellifera,umbellifera.aff,umbratica,velutina,venusta,vera,virgultosa,vismiifolia,Zygia_mediana
cordatoalata,0.049628778,0.037405093,0.088778547,0.136809396,0.135283553,0.120198862,0.111800818,0.107735495,0.164645938,0.092802856,0.100109839,0.091682489,0.073657122,0.132983328,0.164248582,0.143755702,0.08843829,0.070268262,0.084254657,0.093796069,1,0.088233627,0.138011622,0.212684118,0.094216817,0.066942138,0.065695608,0.365130186,0.125117774,0.094683972,0.125871352,0.077539875,0.342341129,0.060893033,0.111254964,0.077788108,0.311805293,0.096693889,0.077285897,0.075467983,0.109570419,0.159457354,0.116102542,0.073126084,0.226387491,0.126152962,0.098935434,0.072448379,0.092832607,0.160962078,0.080583748,0.085990581,0.134491433,0.02136822,0.06041967,0.026251919,0.094108442,0.063536592,0.100414085,0.104353103,0.126661434,0.106296395,0.067631695,0.046970051,0.207682278,0.182830301,0.125548791,0.235474945,0.118657113,0.046920049,0.11261804,0.080891897,0.13239019,0.126718202,0.192818058,0.087416791,0.083552986,0.052222342,0.01720929,0.212513625,0.060882126,0.176809043,0.058851308,0.195800104,0.036150303,0.077378791,0.220734366,0.027365077,0.08075841,0.13165301,0.084469267,0.104080869,0.035757162,0.127757843,0.130952359,0.101313316,0.08887395,0.175591331
coruscans,0.087322213,0.046419247,0.350135618,0.121958543,0.081029326,0.387440707,0.089517004,0.268024512,0.145523345,0.237569624,0.243509603,0.245857857,0.229229377,0.2380913,0.16449311,0.229406175,0.208864417,0.073785607,0.180642362,0.421341375,0.088233627,1,0.514658437,0.136344019,0.218114167,0.150318713,0.154064295,0.135732127,0.188613577,0.257613858,0.466115476,0.207190861,0.083984561,0.280713262,0.307205194,0.242858478,0.129693982,0.324576014,0.263665573,0.209373729,0.242018787,0.118311884,0.273352486,0.263415488,0.160434477,0.384817416,0.083110586,0.310205877,0.098662149,0.279584399,0.166850859,0.141572294,0.159301857,0.108938887,0.159080608,0.106230471,0.215831325,0.318094064,0.296460091,0.419639595,0.393750765,0.16836308,0.300260899,0.124201215,0.368219323,0.126926063,0.365537218,0.131294995,0.410040008,0.04250893,0.255101544,0.373318548,0.330580416,0.333798384,0.141901926,0.074653436,0.216187602,0.172919005,0.115716466,0.08099189,0.302424613,0.111380486,0.298417675,0.09909293,0.156241994,0.127728333,0.135506844,0.162780343,0.287072022,0.127617891,0.2014572,0.181802889,0.109957084,0.359758211,0.353738636,0.195400945,0.248309176,0.290116322
cylindrica,0.111560687,0.057178595,0.295054424,0.145140872,0.119895017,0.322177149,0.117487613,0.298170843,0.139176175,0.245659862,0.282953301,0.375244692,0.223951454,0.251992477,0.162223729,0.230750824,0.26424406,0.089277374,0.238780756,0.331492481,0.138011622,0.514658437,1,0.16941663,0.267711965,0.178225964,0.144360655,0.16358947,0.23109545,0.268040029,0.397253084,0.211557794,0.124099472,0.255531621,0.35350805,0.204090305,0.156777377,0.291989563,0.222807057,0.260228273,0.2450873,0.153311699,0.253894723,0.283126992,0.184161041,0.311317993,0.105749485,0.326914547,0.138552492,0.348798745,0.193058367,0.171327624,0.20353611,0.093055965,0.182754605,0.096056621,0.20721363,0.325007502,0.257318693,0.439349675,0.404122425,0.195897892,0.299452955,0.138345616,0.43578369,0.167094816,0.322471094,0.192805431,0.387435279,0.054119726,0.282077498,0.376205758,0.314494832,0.324305276,0.27378033,0.112523985,0.220181282,0.169664332,0.103605684,0.157846256,0.321419545,0.138179881,0.256058354,0.166053378,0.125995463,0.130022345,0.168474513,0.132601174,0.254095105,0.169067424,0.22314691,0.25756624,0.102605186,0.368729556,0.401565022,0.168324499,0.225684707,0.380853348
edulis,0.074138613,0.092122578,0.147396259,0.20383279,0.157646351,0.208648831,0.175773299,0.278590168,0.226549683,0.133599866,0.144381787,0.174938315,0.133702816,0.174544053,0.228553624,0.200388718,0.142628032,0.196149298,0.181881188,0.167623927,0.212684118,0.136344019,0.16941663,1,0.230183398,0.173642938,0.189202615,0.152662649,0.417828397,0.166489681,0.265720675,0.113731589,0.151941317,0.084373747,0.223484589,0.127751304,0.134631908,0.15692621,0.176892086,0.11323429,0.14977292,0.430141865,0.150975791,0.12130595,0.365447758,0.215596577,0.124273291,0.108351838,0.112405614,0.192954298,0.132770574,0.161460637,0.221541395,0.029407085,0.122356062,0.049841305,0.179964605,0.084024337,0.141591217,0.198439733,0.192255337,0.194159123,0.110638197,0.105950567,0.271448394,0.347765813,0.222367205,0.317569981,0.223145914,0.059965374,0.200312433,0.145083974,0.206092737,0.248736997,0.18887319,0.129321772,0.111668271,0.076339344,0.02522582,0.198935485,0.09659406,0.297125579,0.073276697,0.256800482,0.05929368,0.252045447,0.309739704,0.048019203,0.121122257,0.211898157,0.239004271,0.177578927,0.101137742,0.226351143,0.212650462,0.146487075,0.211044034,0.271914432
fastuosa,0.081417771,0.048242645,0.169876048,0.090901778,0.105768916,0.196856013,0.085573939,0.339975743,0.079736087,0.188368103,0.216349135,0.298974696,0.282364401,0.096078498,0.081043386,0.080831388,0.260473179,0.087949612,0.291901514,0.215103321,0.094216817,0.218114167,0.267711965,0.230183398,1,0.232456923,0.429596621,0.109334828,0.414177548,0.177726007,0.327226059,0.133366754,0.076819891,0.164920854,0.28203081,0.107325086,0.097426579,0.162942726,0.36192913,0.228079096,0.102939205,0.224527992,0.227690798,0.285585294,0.139151565,0.171066838,0.065571664,0.270417203,0.174929173,0.202905786,0.307856938,0.22438717,0.15429957,0.079114509,0.352812404,0.095556001,0.278746575,0.204052899,0.215066774,0.301903182,0.222092231,0.16077261,0.159030555,0.145698501,0.203933218,0.226211805,0.209015697,0.156865621,0.195691396,0.04405858,0.210868581,0.165100584,0.196929208,0.189504759,0.225163492,0.104355295,0.202981923,0.066052034,0.104707161,0.105431858,0.201704692,0.150389607,0.159346221,0.166722826,0.125059932,0.209493423,0.158618632,0.106779024,0.158443989,0.136438063,0.293272618,0.267534803,0.460949201,0.237213687,0.174426668,0.084351937,0.309056695,0.271360676
flagelliformis,0.05263897,0.046307229,0.114135314,0.063942548,0.186158866,0.110703705,0.062672379,0.280181133,0.065785643,0.267645513,0.289800989,0.388614331,0.306744544,0.077382097,0.065902243,0.064931311,0.289900066,0.102801582,0.230401886,0.115772341,0.066942138,0.150318713,0.178225964,0.173642938,0.232456923,1,0.193338231,0.075415624,0.25473945,0.132830765,0.169673808,0.24856803,0.063356156,0.084192516,0.351468642,0.079120894,0.068633419,0.115286025,0.233895788,0.174387082,0.257067523,0.17241413,0.148701942,0.247949959,0.096567881,0.1102997,0.247330654,0.304230544,0.224441658,0.305728029,0.138105412,0.172780053,0.094758722,0.044280122,0.177929106,0.065798111,0.363451543,0.123072082,0.241633639,0.144656291,0.135244139,0.114175631,0.081789898,0.119214429,0.141960181,0.151235384,0.124817177,0.103006999,0.123724082,0.036596232,0.303979072,0.104138385,0.200604376,0.14549797,0.130951132,0.068825355,0.109610788,0.057809363,0.038261546,0.063323965,0.096266748,0.141275404,0.152556385,0.092824568,0.063523524,0.221876197,0.114397596,0.0611552,0.088747118,0.326586193,0.284952696,0.316009594,0.148931779,0.154714072,0.107110286,0.264958428,0.237573,0.145674819
fosteriana,0.04511288,0.044170593,0.144444994,0.045801545,0.04462559,0.144662744,0.053970107,0.256736267,0.068062168,0.055201412,0.107958062,0.145791413,0.197063704,0.076424358,0.069117463,0.070989409,0.127624514,0.094940882,0.205612902,0.158715888,0.065695608,0.154064295,0.144360655,0.189202615,0.429596621,0.193338231,1,0.078188478,0.33050893,0.112098543,0.163454691,0.057443332,0.044922602,0.126362083,0.11758309,0.101975635,0.074319906,0.149384539,0.196654734,0.09197821,0.069796742,0.177612432,0.101060874,0.110676868,0.097443733,0.129059414,0.04331693,0.192349926,0.05637283,0.092133367,0.143269754,0.153403553,0.093586503,0.064691876,0.146569561,0.091076236,0.188796874,0.229405072,0.071569403,0.157114089,0.107751729,0.125338282,0.102199087,0.144517681,0.137893007,0.132577378,0.113767697,0.087928731,0.137781206,0.030157576,0.097704302,0.152768059,0.100724798,0.134939656,0.096000931,0.034661797,0.139964191,0.077881036,0.092954509,0.047487572,0.281188887,0.081182905,0.083593087,0.071126836,0.108113173,0.267891683,0.087372681,0.139847551,0.117719208,0.09465216,0.290842893,0.119838019,0.700515044,0.134389738,0.138098723,0.075863015,0.252585701,0.119855559
glomeriflora,0.050989584,0.028556518,0.125802648,0.104434104,0.105900913,0.160505841,0.077229992,0.116252423,0.148756925,0.123300486,0.127340039,0.124599614,0.110435786,0.145018457,0.145812947,0.148512856,0.124874703,0.056590841,0.108194875,0.136332138,0.365130186,0.135732127,0.16358947,0.152662649,0.109334828,0.075415624,0.078188478,1,0.133337635,0.134970499,0.177743292,0.105928262,0.409807748,0.092548669,0.153893324,0.112403028,0.728665978,0.134155734,0.091863218,0.12288107,0.143822078,0.124347732,0.128198484,0.118207167,0.170850812,0.165010998,0.086796752,0.109907622,0.103256639,0.187264016,0.090157364,0.089142054,0.109851172,0.027532449,0.062905906,0.031060611,0.101945651,0.09007934,0.143647855,0.152053611,0.166198008,0.130484835,0.099548876,0.05097774,0.219544921,0.146550749,0.169047437,0.175590577,0.170265322,0.034715788,0.150321611,0.116012111,0.181461079,0.160686162,0.185679739,0.078684562,0.101475935,0.080319316,0.025919595,0.202879144,0.098400774,0.140323847,0.078834843,0.153037652,0.055353118,0.086359164,0.158950248,0.040323908,0.117210513,0.133175053,0.096740703,0.131676591,0.034547289,0.185592737,0.164750639,0.123512771,0.104148973,0.215407065
goldmanii,0.068288236,0.082411109,0.183147976,0.110244703,0.089290238,0.246570326,0.093106822,0.443355426,0.131088115,0.139665755,0.205909172,0.205801121,0.284728068,0.122056949,0.131049913,0.122149944,0.225139361,0.17232371,0.263640882,0.231503156,0.125117774,0.188613577,0.23109545,0.417828397,0.414177548,0.25473945,0.33050893,0.133337635,1,0.137232174,0.302776489,0.09639101,0.10106831,0.140744893,0.222574914,0.104411057,0.123465626,0.183629134,0.328068316,0.154803127,0.127122616,0.310602508,0.231083043,0.159924759,0.188022274,0.224679982,0.084091259,0.162507419,0.084822007,0.207447447,0.210741863,0.211238408,0.136621979,0.050105941,0.280938813,0.080044537,0.301875862,0.146898408,0.150436389,0.265442314,0.198533461,0.182094108,0.139690837,0.145393197,0.255451007,0.229521773,0.217886556,0.179966636,0.244527949,0.039000469,0.199250428,0.201188722,0.204854136,0.216896649,0.21823123,0.093738283,0.197537712,0.071285457,0.05888899,0.134845592,0.161178698,0.190691854,0.136236624,0.168097709,0.111127612,0.383049925,0.167326372,0.078132,0.173230574,0.197495716,0.380708453,0.248118432,0.23047911,0.226699164,0.216821321,0.116652506,0.318497954,0.233632439
gracilifolia,0.054572644,0.02774073,0.305457216,0.109290137,0.072396037,0.331857839,0.075606461,0.118953734,0.178120028,0.186013518,0.326967174,0.243271247,0.201655866,0.265663457,0.202260765,0.257780095,0.222973353,0.05733181,0.143467357,0.329153651,0.094683972,0.257613858,0.268040029,0.166489681,0.177726007,0.132830765,0.112098543,0.134970499,0.137232174,1,0.331814969,0.180876313,0.081401214,0.166132132,0.303482294,0.57555521,0.129848957,0.228740696,0.109365469,0.204498629,0.201505985,0.13698907,0.087753558,0.168508478,0.183865423,0.31995534,0.089993848,0.173051646,0.110144564,0.247832227,0.133030892,0.119339174,0.096519551,0.025100862,0.083300425,0.032367974,0.112190814,0.09875535,0.221855126,0.303471951,0.33390036,0.211647807,0.172889121,0.054442326,0.314842046,0.123275485,0.315644539,0.135332662,0.347917335,0.035940314,0.29074246,0.281251849,0.309871246,0.33419643,0.141325546,0.05476796,0.093966465,0.159997952,0.021897646,0.074836215,0.188919778,0.133231418,0.063696487,0.089252086,0.067856102,0.126851766,0.152150715,0.034322186,0.299767793,0.114728111,0.13790515,0.17644493,0.071270512,0.380913327,0.330501707,0.18113772,0.131578238,0.325254876
grandiflora,0.071019063,0.048122953,0.373427058,0.159890101,0.107912169,0.469262391,0.116243697,0.296166051,0.201488716,0.354049524,0.266476129,0.32043432,0.357759504,0.267214455,0.227476,0.269177383,0.313578541,0.089071034,0.232090366,0.462502287,0.125871352,0.466115476,0.397253084,0.265720675,0.327226059,0.169673808,0.163454691,0.177743292,0.302776489,0.331814969,1,0.301724533,0.109057393,0.258433855,0.493899842,0.278315124,0.164451237,0.341036075,0.241647179,0.375732642,0.26525148,0.208800629,0.258763301,0.372967483,0.264453256,0.490247105,0.121487619,0.352941828,0.176660585,0.405038107,0.340847959,0.18789599,0.160537202,0.070167418,0.256298425,0.079892276,0.233322217,0.209642055,0.414693699,0.559374472,0.466407796,0.257416064,0.350330861,0.105075168,0.477975971,0.223672395,0.480864865,0.23133995,0.499234216,0.044559824,0.392004965,0.413319059,0.424336007,0.455274253,0.194681373,0.082846893,0.193310171,0.18508651,0.079779339,0.12197136,0.259097027,0.196772908,0.19491067,0.1456002,0.135393814,0.162558061,0.243855132,0.083304966,0.370610741,0.18718314,0.246903497,0.253858076,0.140410792,0.461261445,0.429934299,0.211987368,0.265080965,0.463722809
heterophylla,0.043682234,0.021644911,0.237064926,0.142314143,0.200552006,0.27424453,0.066990691,0.098951815,0.156807495,0.779386909,0.459553026,0.390847185,0.43673472,0.351259324,0.175235934,0.322948992,0.148639465,0.044939497,0.094098581,0.260681415,0.077539875,0.207190861,0.211557794,0.113731589,0.133366754,0.24856803,0.057443332,0.105928262,0.09639101,0.180876313,0.301724533,1,0.080565685,0.235768204,0.575463693,0.224818979,0.109791642,0.143922508,0.057849782,0.335498441,0.717472252,0.075477364,0.075149202,0.236823679,0.121828441,0.249982417,0.443305674,0.183900063,0.384620659,0.478726704,0.200437009,0.078969826,0.09368487,0.020165309,0.164417779,0.02299684,0.086022643,0.087344485,0.655856106,0.311122175,0.364820733,0.146638859,0.316180578,0.05811292,0.202843655,0.111005378,0.278016308,0.099015592,0.263735981,0.028720986,0.60408939,0.249043962,0.31477013,0.335074507,0.071670901,0.055205141,0.055813759,0.099633503,0.018933021,0.078413436,0.133456613,0.134729941,0.05719269,0.068414156,0.031637199,0.06455383,0.117316129,0.026493549,0.257954961,0.238815421,0.070493166,0.349764158,0.054394489,0.263659142,0.292610173,0.561949732,0.062407672,0.353863554
huberi,0.045580883,0.03441215,0.075306205,0.138590046,0.165788828,0.104270887,0.097015805,0.091711651,0.148220181,0.094895744,0.094610283,0.083121946,0.056298485,0.114293383,0.138677598,0.12335765,0.060364047,0.072406835,0.063002423,0.081482539,0.342341129,0.083984561,0.124099472,0.151941317,0.076819891,0.063356156,0.044922602,0.409807748,0.10106831,0.081401214,0.109057393,0.080565685,1,0.066475207,0.114449531,0.069110869,0.32046484,0.072219603,0.058358716,0.059695049,0.111349332,0.099867224,0.089925686,0.070901219,0.174605808,0.11209231,0.110941774,0.069331214,0.076105164,0.141727932,0.064311456,0.066718262,0.108130775,0.022310491,0.043678214,0.025585144,0.065584577,0.058445088,0.102721816,0.091627161,0.10791319,0.076365355,0.065788746,0.044952239,0.176546211,0.160184614,0.117341031,0.21273572,0.10275259,0.049555557,0.116569144,0.063780623,0.123120517,0.108275807,0.159348401,0.091671884,0.061219593,0.036049283,0.019548324,0.251900055,0.060663548,0.146213153,0.065034661,0.149510905,0.030417669,0.05963809,0.148249368,0.027257678,0.07170476,0.122278554,0.065385868,0.091097747,0.02395892,0.110917916,0.106315466,0.102739353,0.066800126,0.169744176
ingoides,0.066549556,0.03824653,0.261982942,0.100765999,0.127685448,0.36815157,0.068681319,0.182653084,0.070042034,0.244101275,0.240365965,0.167827119,0.248420018,0.176602845,0.084103512,0.145572728,0.192452873,0.056033241,0.097313981,0.341332672,0.060893033,0.280713262,0.255531621,0.084373747,0.164920854,0.084192516,0.126362083,0.092548669,0.140744893,0.166132132,0.258433855,0.235768204,0.066475207,1,0.256761881,0.223076373,0.090412731,0.19336843,0.086248964,0.218329869,0.237928178,0.072060335,0.12707995,0.202872429,0.085391455,0.302663463,0.055156387,0.214233921,0.123487584,0.248413737,0.161440344,0.090438139,0.126935441,0.067822874,0.140348159,0.072230272,0.08924684,0.209293518,0.277377367,0.289822894,0.269491643,0.102666736,0.275969113,0.097945164,0.210591898,0.084811858,0.285337488,0.078019602,0.271265275,0.073488568,0.274219862,0.251417456,0.220209544,0.263707508,0.091572679,0.12956187,0.138175264,0.096633662,0.079072929,0.051046797,0.21956357,0.063589513,0.15185821,0.061823413,0.10815504,0.075246622,0.094765451,0.118679411,0.317125893,0.096633139,0.111282499,0.152429392,0.125306341,0.267859394,0.292294467,0.164681262,0.101426043,0.213843855
jenmanii,0.070213158,0.042237009,0.329138053,0.172374675,0.225379638,0.407517266,0.12709686,0.227892112,0.178767646,0.620046492,0.506303586,0.482828395,0.534900803,0.227197085,0.197565797,0.225234133,0.256231088,0.083365322,0.136922373,0.374340405,0.111254964,0.307205194,0.35350805,0.223484589,0.28203081,0.351468642,0.11758309,0.153893324,0.222574914,0.303482294,0.493899842,0.575463693,0.114449531,0.256761881,1,0.237147473,0.139397946,0.199363944,0.147143493,0.378021556,0.484248268,0.162851494,0.148736949,0.290908065,0.255186509,0.380122146,0.333442277,0.280373681,0.363425277,0.574077713,0.321466352,0.164170732,0.171686944,0.044164199,0.274753613,0.054086968,0.138003832,0.159402899,0.576165854,0.448620217,0.368871087,0.195783127,0.349442694,0.079676948,0.364855426,0.192117476,0.434119347,0.20960905,0.405792911,0.039547381,0.640918581,0.284854849,0.330202995,0.384486175,0.183576471,0.086985221,0.123552911,0.136587512,0.050571558,0.114530286,0.241619147,0.208893989,0.131256181,0.131034523,0.073533172,0.121388839,0.199416098,0.065957113,0.284557804,0.315371713,0.172669042,0.467750314,0.116441846,0.431402697,0.385908997,0.427132285,0.154601286,0.439066228
kursarii,0.038303404,0.019868382,0.317043564,0.085177265,0.058819356,0.351970553,0.064832935,0.099277544,0.135306471,0.207106626,0.264392042,0.176934751,0.218388904,0.293883865,0.157094424,0.253159266,0.17898727,0.039058607,0.112011504,0.339457933,0.077788108,0.242858478,0.204090305,0.127751304,0.107325086,0.079120894,0.101975635,0.112403028,0.104411057,0.57555521,0.278315124,0.224818979,0.069110869,0.223076373,0.237147473,1,0.118053573,0.231215179,0.103971706,0.235253926,0.247141494,0.091647242,0.076331107,0.143799447,0.151129832,0.324375824,0.071404519,0.138372276,0.097103728,0.240409678,0.125837931,0.09910386,0.085283865,0.022449464,0.077098432,0.027023639,0.092005561,0.092256807,0.267031195,0.287047296,0.360188844,0.157811499,0.174045509,0.044044246,0.280726015,0.100192984,0.332763204,0.110965505,0.329473395,0.028959309,0.275124072,0.266791403,0.297097719,0.326252278,0.097290238,0.040281137,0.089301442,0.149126143,0.021128604,0.0600194,0.169725724,0.095098617,0.058002172,0.064017945,0.072018303,0.097518,0.123896558,0.031520353,0.360927333,0.092414719,0.109974567,0.146630589,0.05623662,0.33063849,0.332377719,0.180720654,0.106454963,0.297826878
LA17,0.042716668,0.024183217,0.132933917,0.092355943,0.086495243,0.148718628,0.065620933,0.103911732,0.141721068,0.122709619,0.126191782,0.124514377,0.111495306,0.148562553,0.145716996,0.151608637,0.116305874,0.046825844,0.092775695,0.13251254,0.311805293,0.129693982,0.156777377,0.134631908,0.097426579,0.068633419,0.074319906,0.728665978,0.123465626,0.129848957,0.164451237,0.109791642,0.32046484,0.090412731,0.139397946,0.118053573,1,0.130327589,0.085698746,0.13074974,0.140860032,0.110230292,0.108038203,0.108673418,0.152152507,0.15266193,0.076889396,0.101584393,0.094998728,0.173772371,0.077129149,0.084092526,0.099360185,0.021285035,0.058844611,0.024781208,0.088799647,0.081431966,0.136937457,0.149708483,0.158151456,0.120054591,0.095680092,0.042063743,0.207720315,0.13189615,0.160025151,0.150068349,0.168816111,0.028053383,0.146548087,0.124663496,0.169733238,0.161165798,0.159862943,0.067188198,0.086499973,0.08590233,0.020713187,0.168896914,0.093639108,0.125318339,0.068777095,0.131198225,0.0453701,0.087504314,0.137954957,0.035791452,0.115855386,0.119235157,0.092536344,0.121708262,0.030013387,0.178318884,0.164248098,0.116111897,0.09352601,0.197083674
LA41,0.049068291,0.027613154,0.25707604,0.073048561,0.068028602,0.318086589,0.061502302,0.21987528,0.106988518,0.135488931,0.297778205,0.224835312,0.199979015,0.189107001,0.126139617,0.185056165,0.273421021,0.058289597,0.204722738,0.460781243,0.096693889,0.324576014,0.291989563,0.15692621,0.162942726,0.115286025,0.149384539,0.134155734,0.183629134,0.228740696,0.341036075,0.143922508,0.072219603,0.19336843,0.199363944,0.231215179,0.130327589,1,0.19242112,0.193029357,0.158840973,0.162683091,0.26699419,0.216674527,0.135253671,0.38168301,0.066680114,0.168830591,0.092095726,0.234004995,0.203867515,0.143232944,0.085799776,0.056472138,0.174997107,0.061669701,0.155976807,0.142031228,0.160762149,0.334803594,0.232737963,0.184151066,0.20225482,0.097946575,0.314969474,0.132465686,0.219548055,0.122648182,0.273195222,0.042320514,0.211307757,0.446580776,0.233097233,0.258653441,0.171592155,0.070697358,0.36698198,0.157258464,0.058161507,0.088644136,0.172946747,0.116977691,0.198206995,0.134281179,0.339299973,0.146174276,0.12329809,0.131549303,0.290307807,0.124871468,0.172313646,0.251370111,0.101326719,0.260006603,0.323635139,0.147482653,0.180229795,0.267140252
LA48,0.056024188,0.042122495,0.185782521,0.056621148,0.064338368,0.151256035,0.058956464,0.282359345,0.062034143,0.106364307,0.1864169,0.232835629,0.220765067,0.072977168,0.062501466,0.064016359,0.15007057,0.084349891,0.291120521,0.175851763,0.077285897,0.263665573,0.222807057,0.176892086,0.36192913,0.233895788,0.196654734,0.091863218,0.328068316,0.109365469,0.241647179,0.057849782,0.058358716,0.086248964,0.147143493,0.103971706,0.085698746,0.19242112,1,0.138390141,0.074709957,0.178392201,0.220108377,0.152454322,0.104671088,0.110548244,0.052492072,0.128642448,0.060595996,0.133626708,0.234568916,0.247700473,0.097162341,0.053083066,0.27170615,0.078476237,0.37793755,0.166713201,0.131894544,0.217471163,0.181645954,0.111155741,0.072553126,0.103385008,0.212496704,0.154992997,0.154127435,0.107649426,0.180266564,0.034623316,0.14038312,0.156739934,0.114063541,0.142912794,0.167258001,0.074131095,0.180217281,0.090087868,0.056340522,0.083355265,0.138068611,0.106885336,0.147440485,0.13239161,0.09867778,0.197748302,0.104024473,0.063978894,0.115295769,0.114028009,0.348764345,0.166849427,0.179315967,0.148957452,0.161895575,0.074821236,0.724439838,0.163649476
lateriflora,0.054943781,0.019104411,0.285111655,0.074062357,0.091932866,0.292029137,0.051283637,0.157363403,0.097825812,0.357832854,0.233471939,0.260869438,0.403268241,0.256023853,0.122362067,0.220614828,0.304547416,0.040913921,0.214628933,0.343860957,0.075467983,0.209373729,0.260228273,0.11323429,0.228079096,0.174387082,0.09197821,0.12288107,0.154803127,0.204498629,0.375732642,0.335498441,0.059695049,0.218329869,0.378021556,0.235253926,0.13074974,0.193029357,0.138390141,1,0.241607301,0.095590347,0.120489434,0.429451051,0.111992031,0.275264486,0.087627147,0.327690739,0.180342919,0.330803994,0.465434246,0.120842332,0.103993769,0.054731218,0.360222641,0.045449136,0.238704542,0.118454638,0.365746665,0.511039538,0.381242085,0.160461016,0.317832852,0.089127609,0.244112464,0.175855731,0.331831104,0.119616754,0.370098598,0.033269448,0.324394806,0.313799144,0.391217442,0.383458027,0.121267744,0.055659281,0.117227249,0.119937869,0.046486087,0.068482116,0.153375402,0.089726975,0.114816991,0.079456187,0.065628778,0.105674945,0.159671514,0.076964866,0.294921663,0.112515565,0.159169192,0.179761677,0.107731093,0.289099438,0.340535261,0.149461962,0.126660046,0.395529374
laurina,0.058325531,0.03299588,0.266063717,0.18643113,0.210151843,0.34649166,0.093894899,0.124066577,0.205381032,0.665462871,0.479224012,0.392987117,0.315279051,0.390165973,0.223970999,0.364354992,0.136221,0.06347171,0.104357803,0.279683779,0.109570419,0.242018787,0.2450873,0.14977292,0.102939205,0.257067523,0.069796742,0.143822078,0.127122616,0.201505985,0.26525148,0.717472252,0.111349332,0.237928178,0.484248268,0.247141494,0.140860032,0.158840973,0.074709957,0.241607301,1,0.106009616,0.113728572,0.162747249,0.161373201,0.308602076,0.45253102,0.159863205,0.345814099,0.520238527,0.092929511,0.099766719,0.12436076,0.029241466,0.086421922,0.032960931,0.107182899,0.106285075,0.61837053,0.256148252,0.396044799,0.175706146,0.214091596,0.064510084,0.253017524,0.144509304,0.342391468,0.139307143,0.319970204,0.035393187,0.629547726,0.237167179,0.346448757,0.386534696,0.108029056,0.070803463,0.06973826,0.108854806,0.030812309,0.113674852,0.149855237,0.198316473,0.083926462,0.106066912,0.034640042,0.081013408,0.160612006,0.044447944,0.300495369,0.284666317,0.091960382,0.330893457,0.036178723,0.326241716,0.332062217,0.559772011,0.083096627,0.350644605
leiocalycina,0.087299539,0.081616221,0.120463856,0.108410033,0.144617138,0.150802718,0.141953998,0.25528308,0.123453946,0.08915478,0.115175654,0.152689941,0.121632238,0.106403042,0.12786745,0.108093727,0.135469888,0.162069969,0.182809265,0.143054319,0.159457354,0.118311884,0.153311699,0.430141865,0.224527992,0.17241413,0.177612432,0.124347732,0.310602508,0.13698907,0.208800629,0.075477364,0.099867224,0.072060335,0.162851494,0.091647242,0.110230292,0.162683091,0.178392201,0.095590347,0.106009616,1,0.142470317,0.107625811,0.218926441,0.172653809,0.078935594,0.098377463,0.079147669,0.14700111,0.139332855,0.263000226,0.233196862,0.032207773,0.116606953,0.052090346,0.175568714,0.08353322,0.102002321,0.160688471,0.131967038,0.161813397,0.0777245,0.102432907,0.23101504,0.312880197,0.148739402,0.243800091,0.168685905,0.066792654,0.133608794,0.118348367,0.140601528,0.174688941,0.169161745,0.166532275,0.141421969,0.056813312,0.02898029,0.131222077,0.084202883,0.197525288,0.080370027,0.231974504,0.08384707,0.224058017,0.33716105,0.061902536,0.093762491,0.151015574,0.259269447,0.139476161,0.094316069,0.172746083,0.148265741,0.098293742,0.215495871,0.201668304
