sample,compound_number,TIC,norm_TIC,Cosine_Shared,Nshared,Nshared_Major,Percent_Shared
IngA_DN1619_polar,5,399606,3421736,0.973,6,2,0.667
IngA_DN1619_polar,13,364468,3120852,0.531,5,4,0.571
IngA_DN1619_polar,14,3876389,33192577,0.787,26,3,1
IngA_DN1619_polar,18,604172,5173382,0.89,10,2,1
IngA_DN1619_polar,26,55053,471413,0.941,3,2,0.5
IngA_DN1619_polar,48,628837,5384582,0.588,17,3,0.75
IngA_DN1619_polar,76,1336020,11440017,0.994,4,1,1
IngA_DN1619_polar,119,6404935,54843903,0.972,7,2,1
IngA_DN1619_polar,128,419175,3589300,0.812,7,2,0.667
IngA_DN1619_polar,134,288646,2471607,0.652,5,5,0.385
IngA_DN1619_polar,138,3639900,31167580,0.795,14,3,1
IngA_DN1619_polar,148,77898,667028,0.996,3,3,1
IngA_DN1619_polar,149,1724760,14768702,0.513,3,1,0.333
IngA_DN1619_polar,194,12400,106185,0.894,2,2,0.5
IngA_DN1619_polar,198,10366,88761,0.996,1,1,0.5
IngA_DN1619_polar,251,202326,1732469,0.938,3,2,0.5
IngA_DN1619_polar,283,168290,1441028,0.808,4,3,0.429
IngA_DN1619_polar,287,10366,88761,0.977,1,1,0.333
IngA_DN1619_polar,347,74577,638585,0.503,2,2,0.5
IngA_DN1619_polar,367,16960,145226,0.968,2,1,1
IngA_DN1619_polar,402,68623,587610,0.584,2,2,0.5
IngA_DN1619_polar,418,11864,101596,0.97,1,1,0.333
IngA_DN1619_polar,419,83472,714755,0.769,3,2,0.5
IngA_DN1619_polar,433,1569134,13436113,0.996,6,1,1
IngA_DN1619_polar,437,26926,230567,0.855,2,2,0.5
IngA_DN1619_polar,458,13205,113075,0.853,2,1,1
IngA_DN1619_polar,459,485737,4159251,0.98,2,2,1
IngA_DN1619_polar,464,17154,146889,1,1,1,1
IngA_DN1619_polar,484,48517,415440,0.588,1,1,0.333
IngA_DN1619_polar,485,12400,106185,0.8,2,2,0.4
IngA_DN1619_polar,561,12400,106185,0.551,2,2,0.667
IngA_DN1619_polar,565,16222,138909,0.508,2,2,1
IngA_DN1619_polar,585,689421,5903346,1,4,2,1
IngA_DN1619_polar,596,42566,364489,0.988,1,1,0.333
IngA_DN1619_polar,645,49249,421712,0.531,3,2,1
IngA_DN1619_polar,680,212728,1821538,0.574,3,1,0.333
IngA_DN1619_polar,694,516680,4424212,1,2,2,1
IngA_DN1619_polar,704,48517,415440,0.988,1,1,0.5
IngA_DN1619_polar,736,26402,226075,0.99,2,2,0.5
IngA_DN1619_polar,765,10110,86570,0.986,1,1,0.5
IngA_DN1619_polar,790,5940,50871,1,1,1,1
IngA_DN1619_polar,822,28277,242134,0.934,2,2,1
IngA_DN1619_polar,828,3540,30313,1,1,1,1
IngA_DN1619_polar,852,241503,2067937,0.515,4,1,1
IngA_DN1619_polar,880,132197,1131975,0.897,1,1,0.333
IngA_DN1619_polar,887,34406,294613,0.851,1,1,0.333
IngA_DN1619_polar,896,5723,49009,0.999,1,1,1
IngA_DN1619_polar,904,10217,87490,0.903,1,1,0.5
IngA_DN1619_polar,912,7670,65682,0.997,1,1,0.5
IngA_DN1619_polar,920,27324,233974,0.679,2,2,0.5
IngA_DN1619_polar,950,81541,698216,0.996,1,1,0.5
IngA_DN1619_polar,1026,3628,31070,0.999,1,1,1
IngA_DN1619_polar,1057,17843,152786,0.917,2,1,1
IngA_DN1619_polar,1058,7174,61436,0.984,1,1,0.333
IngA_DN1619_polar,1062,170351,1458680,1,3,2,1
IngA_DN1619_polar,1083,21903,187553,0.811,2,1,1
IngA_DN1619_polar,1095,16288,139474,1,1,1,1
IngA_DN1619_polar,1110,51205,438458,0.631,2,1,1
IngA_DN1619_polar,1119,6813,58342,0.999,1,1,1
IngA_DN1619_polar,1181,4977,42622,0.995,1,1,0.5
IngA_DN1619_polar,1193,10661,91293,0.999,1,1,1
IngA_DN1619_polar,1203,4882,41810,1,1,1,1
IngA_DN1619_polar,1209,53972,462149,1,1,1,1
IngA_DN1619_polar,1213,7415,63493,0.965,1,1,0.5
IngA_DN1619_polar,1219,8089,69267,0.998,1,1,0.5
IngA_DN1619_polar,1244,32604,279182,1,1,1,1
IngA_DN1619_polar,1279,4468,38259,0.978,1,1,0.5
IngA_DN1619_polar,1332,3724,31894,0.998,1,1,0.5
IngA_DN1619_polar,1374,4350,37252,1,1,1,1
IngA_DN1619_polar,1397,14354,122912,0.58,1,1,0.5
IngA_DN1619_polar,1411,9521,81531,1,1,1,1
IngA_DN1619_polar,1414,42593,364714,1,1,1,1
IngA_DN1619_polar,1417,35138,300883,1,1,1,1
IngA_DN1619_polar,1453,4601,39405,1,1,1,1
IngA_DN1619_polar,1461,4600,39390,0.998,1,1,0.5
IngA_DN1619_polar,1496,11841,101392,0.84,2,2,0.5
IngA_DN1619_polar,1534,42696,365601,0.908,2,2,1
IngA_DN1619_polar,1535,7912,67750,1,1,1,1
IngA_DN1619_polar,1542,44464,380736,0.506,1,1,0.5
IngA_DN1619_polar,1555,7675,65724,0.966,1,1,0.5
IngA_DN1619_polar,1557,8017,68649,1,1,1,1
IngA_DN1619_polar,1573,14589,124923,1,1,1,1
IngA_DN1619_polar,1599,5971,51131,0.987,1,1,0.5
IngA_DN1619_polar,1853,4601,39405,0.726,1,1,0.5
IngA_DN1619_polar,1894,7278,62322,1,1,1,1
IngA_DN1619_polar,1919,5894,50471,1,1,1,1
IngA_DN1619_polar,1994,85387,731155,0.502,1,1,0.5
IngA_DN1619_polar,1999,4411,37776,0.98,1,1,0.5
IngA_DN1619_polar,2004,562665,4817965,1,1,1,1
IngA_DN1619_polar,2065,16030,137261,0.941,2,2,1
IngA_DN1619_polar,2113,91594,784298,0.833,1,1,0.5
IngA_DN1619_polar,2292,169622,1452434,1,1,1,1
IngA_DN1619_polar,2426,53440,457596,1,1,1,1
IngA_DN1619_polar,2436,16129,138117,1,1,1,1
IngA_DN1619_polar,2513,30619,262187,1,1,1,1
IngA_DN1620_polar,5,599209,5130889,0.883,8,2,0.667
IngA_DN1620_polar,13,552836,4733805,0.748,6,4,0.571
IngA_DN1620_polar,14,3841126,32890634,0.878,26,3,1
IngA_DN1620_polar,18,525307,4498077,0.649,12,2,1
IngA_DN1620_polar,26,21499,184096,0.785,3,2,0.5
IngA_DN1620_polar,76,1162163,9951321,0.995,5,1,1
IngA_DN1620_polar,119,5062379,43347927,0.971,7,2,1
IngA_DN1620_polar,128,258122,2210239,0.895,7,2,0.667
IngA_DN1620_polar,134,232256,1988758,0.715,4,4,0.308
IngA_DN1620_polar,138,3596958,30799878,0.7,15,3,1
IngA_DN1620_polar,148,63955,547631,0.992,3,3,1
IngA_DN1620_polar,149,1978287,16939594,0.514,3,1,0.333
IngA_DN1620_polar,183,6281,53785,0.868,1,1,0.5
IngA_DN1620_polar,198,23278,199326,0.996,1,1,0.5
IngA_DN1620_polar,283,63460,543393,0.84,4,3,0.429
IngA_DN1620_polar,287,23278,199326,0.977,1,1,0.333
IngA_DN1620_polar,367,15256,130637,0.931,2,1,1
IngA_DN1620_polar,397,225605,1931808,0.765,6,1,0.5
IngA_DN1620_polar,402,102208,875185,0.514,3,2,0.5
IngA_DN1620_polar,419,208052,1781506,0.91,3,2,0.5
IngA_DN1620_polar,433,1964138,16818443,0.992,5,1,1
IngA_DN1620_polar,437,27290,233683,0.903,2,2,0.5
IngA_DN1620_polar,444,107497,920473,0.753,5,1,1
IngA_DN1620_polar,459,495021,4238744,0.977,3,2,1
IngA_DN1620_polar,464,11046,94585,1,1,1,1
IngA_DN1620_polar,484,74405,637120,0.588,1,1,0.333
IngA_DN1620_polar,573,17239,147619,0.999,1,1,1
IngA_DN1620_polar,585,337035,2885953,0.995,3,2,1
IngA_DN1620_polar,596,14170,121335,0.595,2,1,0.333
IngA_DN1620_polar,673,8126,69587,0.922,1,1,0.333
IngA_DN1620_polar,676,11701,100196,0.932,2,2,0.667
IngA_DN1620_polar,694,482047,4127658,1,2,2,1
IngA_DN1620_polar,704,111885,958048,0.904,2,1,0.5
IngA_DN1620_polar,729,94444,808703,0.622,4,1,1
IngA_DN1620_polar,736,23265,199215,0.989,2,2,0.5
IngA_DN1620_polar,765,10989,94101,0.986,1,1,0.5
IngA_DN1620_polar,822,27025,231410,0.897,2,2,1
IngA_DN1620_polar,828,3635,31130,1,1,1,1
IngA_DN1620_polar,852,218173,1868166,0.658,4,1,1
IngA_DN1620_polar,880,131988,1130187,0.897,1,1,0.333
IngA_DN1620_polar,887,51553,441436,0.851,1,1,0.333
IngA_DN1620_polar,896,6641,56869,0.999,1,1,1
IngA_DN1620_polar,904,7037,60256,0.903,1,1,0.5
IngA_DN1620_polar,911,4901,41973,0.928,1,1,0.333
IngA_DN1620_polar,912,8268,70803,0.997,1,1,0.5
IngA_DN1620_polar,918,5471,46850,0.954,1,1,0.5
IngA_DN1620_polar,950,45297,387868,0.996,1,1,0.5
IngA_DN1620_polar,1002,14722,126064,0.731,1,1,0.333
IngA_DN1620_polar,1009,29732,254591,0.999,1,1,1
IngA_DN1620_polar,1015,14798,126719,0.997,1,1,0.5
IngA_DN1620_polar,1062,139826,1197297,1,3,2,1
IngA_DN1620_polar,1083,8682,74349,0.999,1,1,1
IngA_DN1620_polar,1095,21105,180723,1,1,1,1
IngA_DN1620_polar,1110,39506,338285,0.863,2,1,1
IngA_DN1620_polar,1155,5818,49822,0.992,1,1,0.5
IngA_DN1620_polar,1163,25015,214202,0.575,2,1,1
IngA_DN1620_polar,1193,21429,183498,0.999,1,1,1
IngA_DN1620_polar,1209,79377,679691,1,1,1,1
IngA_DN1620_polar,1213,16919,144875,0.965,1,1,0.5
IngA_DN1620_polar,1244,352332,3016939,1,1,1,1
IngA_DN1620_polar,1292,33009,282653,0.773,2,1,1
IngA_DN1620_polar,1295,7420,63541,1,1,1,1
IngA_DN1620_polar,1411,9239,79112,1,1,1,1
IngA_DN1620_polar,1414,15338,131342,1,1,1,1
IngA_DN1620_polar,1417,37053,317279,1,1,1,1
IngA_DN1620_polar,1453,12279,105148,1,1,1,1
IngA_DN1620_polar,1461,4155,35579,0.998,1,1,0.5
IngA_DN1620_polar,1534,43072,368822,0.8,2,2,1
IngA_DN1620_polar,1535,5261,45056,1,1,1,1
IngA_DN1620_polar,1542,144220,1234921,0.506,1,1,0.5
IngA_DN1620_polar,1555,6901,59091,0.966,1,1,0.5
IngA_DN1620_polar,1557,4045,34642,1,1,1,1
IngA_DN1620_polar,1572,8096,69331,0.994,1,1,0.5
IngA_DN1620_polar,1599,28803,246638,0.987,1,1,0.5
IngA_DN1620_polar,1669,10619,90932,0.744,2,2,0.5
IngA_DN1620_polar,1853,12279,105148,0.726,1,1,0.5
IngA_DN1620_polar,1922,18225,156062,1,1,1,1
IngA_DN1620_polar,1927,4018,34406,1,1,1,1
IngA_DN1620_polar,1994,29973,256658,0.502,1,1,0.5
IngA_DN1620_polar,1999,7157,61284,0.98,1,1,0.5
IngA_DN1620_polar,2004,575199,4925289,1,1,1,1
IngA_DN1620_polar,2065,39860,341317,0.995,2,2,1
IngA_DN1620_polar,2144,4356,37301,1,1,1,1
IngA_DN1620_polar,2292,138749,1188080,1,1,1,1
IngA_DN1620_polar,2426,52247,447386,1,1,1,1
IngA_DN1620_polar,2436,14791,126652,1,1,1,1
IngA_DN1620_polar,2513,39878,341469,1,1,1,1
IngA_DN1677_polar,5,203208,2067659,0.95,7,2,0.667
IngA_DN1677_polar,13,175908,1789879,0.503,6,3,0.429
IngA_DN1677_polar,14,3986341,40561213,0.605,24,3,1
IngA_DN1677_polar,18,752996,7661779,0.843,9,2,1
IngA_DN1677_polar,26,56208,571921,0.565,4,2,0.5
IngA_DN1677_polar,76,880552,8959667,0.993,4,1,1
IngA_DN1677_polar,119,6925675,70469079,0.972,6,2,1
IngA_DN1677_polar,128,287592,2926262,0.947,5,1,0.333
IngA_DN1677_polar,134,311509,3169622,0.668,4,4,0.308
IngA_DN1677_polar,138,3866779,39344663,0.919,15,3,1
IngA_DN1677_polar,139,5698,57986,0.986,1,1,0.5
IngA_DN1677_polar,148,86505,880198,0.99,7,3,1
IngA_DN1677_polar,149,1238785,12604701,0.517,3,1,0.333
IngA_DN1677_polar,198,16452,167406,0.965,2,1,0.5
IngA_DN1677_polar,287,12863,130883,0.977,1,1,0.333
IngA_DN1677_polar,397,164926,1678132,0.677,5,1,0.5
IngA_DN1677_polar,418,5776,58780,0.97,1,1,0.333
IngA_DN1677_polar,433,1229325,12508450,0.995,7,1,1
IngA_DN1677_polar,437,40895,416117,0.851,2,2,0.5
IngA_DN1677_polar,444,105474,1073212,0.716,6,1,1
IngA_DN1677_polar,459,389251,3960656,0.97,3,2,1
IngA_DN1677_polar,464,24177,246007,1,1,1,1
IngA_DN1677_polar,465,33364,339481,0.995,1,1,0.5
IngA_DN1677_polar,484,49993,508685,0.588,1,1,0.333
IngA_DN1677_polar,518,4259,43344,0.984,1,1,0.333
IngA_DN1677_polar,558,3904,39731,0.991,1,1,0.333
IngA_DN1677_polar,573,15999,162791,0.999,1,1,1
IngA_DN1677_polar,585,802387,8164332,0.994,4,2,1
IngA_DN1677_polar,606,7789,79255,0.999,1,1,1
IngA_DN1677_polar,645,18178,184968,0.508,2,1,0.5
IngA_DN1677_polar,673,16083,163645,0.922,1,1,0.333
IngA_DN1677_polar,676,21616,219945,0.958,2,2,0.667
IngA_DN1677_polar,680,121108,1232288,0.595,3,1,0.333
IngA_DN1677_polar,694,207462,2110936,0.999,2,2,1
IngA_DN1677_polar,704,60847,619127,0.976,2,1,0.5
IngA_DN1677_polar,729,72427,736953,0.661,5,1,1
IngA_DN1677_polar,736,30731,312693,0.972,4,4,1
IngA_DN1677_polar,765,8749,89029,0.986,1,1,0.5
IngA_DN1677_polar,790,11519,117208,1,1,1,1
IngA_DN1677_polar,822,21707,220879,0.9,2,2,1
IngA_DN1677_polar,864,14545,148005,0.834,2,1,0.5
IngA_DN1677_polar,880,98116,998344,0.897,1,1,0.333
IngA_DN1677_polar,887,23284,236923,0.851,1,1,0.333
IngA_DN1677_polar,896,6575,66910,0.999,1,1,1
IngA_DN1677_polar,904,13996,142416,0.903,1,1,0.5
IngA_DN1677_polar,912,9537,97045,0.997,1,1,0.5
IngA_DN1677_polar,938,10383,105649,0.567,2,2,0.667
IngA_DN1677_polar,950,24185,246092,0.996,1,1,0.5
IngA_DN1677_polar,1015,21743,221236,0.997,1,1,0.5
IngA_DN1677_polar,1026,5048,51371,0.999,1,1,1
IngA_DN1677_polar,1057,49739,506103,0.873,3,1,1
IngA_DN1677_polar,1058,6706,68236,0.984,1,1,0.333
IngA_DN1677_polar,1062,263896,2685161,0.998,3,2,1
IngA_DN1677_polar,1083,23809,242263,0.999,1,1,1
IngA_DN1677_polar,1110,62896,639976,0.771,2,1,1
IngA_DN1677_polar,1193,10460,106433,0.999,1,1,1
IngA_DN1677_polar,1209,109555,1114728,1,1,1,1
IngA_DN1677_polar,1219,6587,67028,0.998,1,1,0.5
IngA_DN1677_polar,1244,150184,1528139,1,1,1,1
IngA_DN1677_polar,1292,85955,874605,0.916,2,1,1
IngA_DN1677_polar,1411,4238,43126,1,1,1,1
IngA_DN1677_polar,1414,27523,280054,1,1,1,1
IngA_DN1677_polar,1417,27300,277779,1,1,1,1
IngA_DN1677_polar,1461,8708,88612,0.998,1,1,0.5
IngA_DN1677_polar,1496,10655,108423,0.913,2,2,0.5
IngA_DN1677_polar,1521,3494,35556,1,1,1,1
IngA_DN1677_polar,1534,20759,211229,0.993,1,1,0.5
IngA_DN1677_polar,1535,5765,58664,1,1,1,1
IngA_DN1677_polar,1542,14325,145765,0.506,1,1,0.5
IngA_DN1677_polar,1555,11312,115105,0.987,2,2,1
IngA_DN1677_polar,1557,4624,47050,1,1,1,1
IngA_DN1677_polar,1573,12626,128473,1,1,1,1
IngA_DN1677_polar,1599,29466,299823,0.987,1,1,0.5
IngA_DN1677_polar,1639,4037,41084,0.987,1,1,0.5
IngA_DN1677_polar,1679,7315,74431,0.739,2,1,1
IngA_DN1677_polar,1782,3194,32503,1,1,1,1
IngA_DN1677_polar,1827,3270,33276,1,1,1,1
IngA_DN1677_polar,1894,8165,83087,1,1,1,1
IngA_DN1677_polar,1919,4353,44298,1,1,1,1
IngA_DN1677_polar,1927,7855,79925,1,1,1,1
IngA_DN1677_polar,1994,16289,165745,0.502,1,1,0.5
IngA_DN1677_polar,1999,4308,43838,0.98,1,1,0.5
IngA_DN1677_polar,2001,5307,54000,1,1,1,1
IngA_DN1677_polar,2004,233285,2373687,1,1,1,1
IngA_DN1677_polar,2065,16457,167453,0.958,2,2,1
IngA_DN1677_polar,2113,80478,818867,0.833,1,1,0.5
IngA_DN1677_polar,2262,8322,84686,0.999,1,1,0.5
IngA_DN1677_polar,2292,122697,1248454,1,1,1,1
IngA_DN1677_polar,2426,25030,254687,1,1,1,1
IngA_DN1677_polar,2436,21445,218209,1,1,1,1
IngA_DN1677_polar,2513,58963,599952,1,1,1,1
IngA_DN1677_polar,2543,6861,69813,1,1,1,1
IngA_DN1677_polar,2585,3520,35821,1,1,1,1
IngA_DN1884_polar,5,482822,4990500,0.977,5,2,0.667
IngA_DN1884_polar,14,3463352,35797535,0.905,22,3,1
IngA_DN1884_polar,18,693777,7170945,0.965,11,2,1
IngA_DN1884_polar,26,48283,499062,0.621,3,2,0.5
IngA_DN1884_polar,48,924754,9558349,0.652,20,3,0.75
IngA_DN1884_polar,76,449297,4643984,0.981,4,1,1
IngA_DN1884_polar,119,7132305,73720164,0.973,7,2,1
IngA_DN1884_polar,128,602697,6229531,0.745,8,2,0.667
IngA_DN1884_polar,134,393977,4072185,0.699,5,5,0.385
IngA_DN1884_polar,138,3136487,32419022,0.596,13,3,1
IngA_DN1884_polar,147,42685,441205,0.902,4,1,0.333
IngA_DN1884_polar,148,170981,1767285,0.989,6,3,1
IngA_DN1884_polar,149,1928528,19933443,0.51,3,1,0.333
IngA_DN1884_polar,183,17652,182456,0.868,1,1,0.5
IngA_DN1884_polar,198,20769,214675,0.996,1,1,0.5
IngA_DN1884_polar,283,147803,1527710,0.851,4,3,0.429
IngA_DN1884_polar,287,20769,214675,0.977,1,1,0.333
IngA_DN1884_polar,367,48274,498972,0.7,3,1,1
IngA_DN1884_polar,397,140512,1452353,0.912,7,1,0.5
IngA_DN1884_polar,405,66567,688052,0.628,5,1,1
IngA_DN1884_polar,433,1674792,17310806,0.996,5,1,1
IngA_DN1884_polar,437,22048,227896,0.873,2,2,0.5
IngA_DN1884_polar,459,485849,5021782,0.95,3,2,1
IngA_DN1884_polar,464,102443,1058865,1,1,1,1
IngA_DN1884_polar,484,75242,777716,0.588,1,1,0.333
IngA_DN1884_polar,518,23771,245708,0.984,1,1,0.333
IngA_DN1884_polar,530,24336,251543,0.876,1,1,0.333
IngA_DN1884_polar,585,8855389,91530118,0.994,4,2,1
IngA_DN1884_polar,596,27214,281293,0.954,2,1,0.333
IngA_DN1884_polar,627,378584,3913083,0.951,3,2,0.5
IngA_DN1884_polar,628,8984,92860,0.999,1,1,1
IngA_DN1884_polar,673,64830,670096,0.922,1,1,0.333
IngA_DN1884_polar,676,107611,1112279,0.86,2,2,0.667
IngA_DN1884_polar,694,320161,3309221,0.999,2,2,1
IngA_DN1884_polar,704,85409,882804,0.985,2,1,0.5
IngA_DN1884_polar,719,48283,499062,0.947,3,2,1
IngA_DN1884_polar,727,56179,580677,0.844,4,4,0.667
IngA_DN1884_polar,736,67440,697067,0.976,4,4,1
IngA_DN1884_polar,765,6995,72308,0.986,1,1,0.5
IngA_DN1884_polar,783,118124,1220944,0.608,3,2,1
IngA_DN1884_polar,790,18215,188275,1,1,1,1
IngA_DN1884_polar,822,19361,200124,0.932,2,2,1
IngA_DN1884_polar,852,449029,4641206,0.697,6,1,1
IngA_DN1884_polar,880,168917,1745942,0.897,1,1,0.333
IngA_DN1884_polar,887,73588,760621,0.851,1,1,0.333
IngA_DN1884_polar,896,3856,39866,0.999,1,1,1
IngA_DN1884_polar,904,5638,58277,0.903,1,1,0.5
IngA_DN1884_polar,912,23455,242433,0.997,1,1,0.5
IngA_DN1884_polar,938,14958,154615,0.523,2,2,0.667
IngA_DN1884_polar,950,15049,155557,0.996,1,1,0.5
IngA_DN1884_polar,958,6959,71931,0.993,1,1,0.333
IngA_DN1884_polar,1001,20320,210033,0.626,2,2,1
IngA_DN1884_polar,1015,8265,85430,0.997,1,1,0.5
IngA_DN1884_polar,1026,4016,41512,0.999,1,1,1
IngA_DN1884_polar,1062,106972,1105677,0.997,3,2,1
IngA_DN1884_polar,1083,33986,351291,0.955,2,1,1
IngA_DN1884_polar,1095,15395,159131,1,1,1,1
IngA_DN1884_polar,1110,27556,284829,0.582,2,1,1
IngA_DN1884_polar,1163,58192,601478,0.791,2,1,1
IngA_DN1884_polar,1193,6866,70969,0.999,1,1,1
IngA_DN1884_polar,1209,34987,361630,1,1,1,1
IngA_DN1884_polar,1213,7170,74119,0.965,1,1,0.5
IngA_DN1884_polar,1219,4873,50375,0.998,1,1,0.5
IngA_DN1884_polar,1244,102507,1059523,1,1,1,1
IngA_DN1884_polar,1278,45540,470711,1,1,1,1
IngA_DN1884_polar,1279,20320,210033,0.956,2,2,1
IngA_DN1884_polar,1332,24844,256800,0.992,2,2,1
IngA_DN1884_polar,1411,6797,70260,1,1,1,1
IngA_DN1884_polar,1414,7442,76924,1,1,1,1
IngA_DN1884_polar,1417,36490,377171,1,1,1,1
IngA_DN1884_polar,1461,9239,95497,0.998,1,1,0.5
IngA_DN1884_polar,1496,29939,309452,0.716,2,2,0.5
IngA_DN1884_polar,1521,6813,70425,1,1,1,1
IngA_DN1884_polar,1534,50351,520432,0.957,2,2,1
IngA_DN1884_polar,1535,4387,45344,1,1,1,1
IngA_DN1884_polar,1542,4364,45115,0.506,1,1,0.5
IngA_DN1884_polar,1555,23685,244817,1,2,2,1
IngA_DN1884_polar,1557,6116,63216,1,1,1,1
IngA_DN1884_polar,1572,5805,60010,0.994,1,1,0.5
IngA_DN1884_polar,1573,6343,65569,1,1,1,1
IngA_DN1884_polar,1599,1358836,14045056,1,2,2,1
IngA_DN1884_polar,1630,3454,35706,1,1,1,1
IngA_DN1884_polar,1752,5088,52593,0.958,1,1,0.5
IngA_DN1884_polar,1782,6875,71064,1,1,1,1
IngA_DN1884_polar,1827,4650,48071,1,1,1,1
IngA_DN1884_polar,1919,18189,188007,1,1,1,1
IngA_DN1884_polar,1994,158803,1641402,0.502,1,1,0.5
IngA_DN1884_polar,1999,5594,57826,0.98,1,1,0.5
IngA_DN1884_polar,2001,12979,134158,1,1,1,1
IngA_DN1884_polar,2004,417780,4318212,1,1,1,1
IngA_DN1884_polar,2005,7449,76993,1,1,1,1
IngA_DN1884_polar,2065,50724,524297,0.823,2,2,1
IngA_DN1884_polar,2113,117155,1210925,0.833,1,1,0.5
IngA_DN1884_polar,2292,76600,791752,1,1,1,1
IngA_DN1884_polar,2412,28304,292561,1,1,1,1
IngA_DN1884_polar,2426,40546,419092,1,1,1,1
IngA_DN1884_polar,2436,25622,264840,1,1,1,1
IngA_DN1884_polar,2461,3195,33030,1,1,1,1
IngA_DN1884_polar,2513,18355,189725,1,1,1,1
IngA_DN1884_polar,2526,6353,65674,1,1,1,1
IngA_DN1884_polar,2585,5240,54170,1,1,1,1
IngA_DN1885_polar,5,609616,6301048,0.964,7,2,0.667
IngA_DN1885_polar,13,572352,5915891,0.546,5,4,0.571
IngA_DN1885_polar,14,1138591,11768582,0.985,19,3,1
IngA_DN1885_polar,48,789609,8161476,0.726,14,3,0.75
IngA_DN1885_polar,71,86046,889387,0.626,4,1,0.333
IngA_DN1885_polar,76,241105,2492086,0.959,4,1,1
IngA_DN1885_polar,119,7151904,73922741,0.973,7,2,1
IngA_DN1885_polar,128,646655,6683888,0.679,7,2,0.667
IngA_DN1885_polar,134,354544,3664600,0.675,5,5,0.385
IngA_DN1885_polar,148,72892,753427,0.969,4,3,1
IngA_DN1885_polar,194,45660,471949,0.772,3,2,0.5
IngA_DN1885_polar,198,56382,582779,0.996,1,1,0.5
IngA_DN1885_polar,283,200843,2075939,0.856,4,3,0.429
IngA_DN1885_polar,287,74528,770332,0.992,2,2,0.667
IngA_DN1885_polar,327,12664,130899,0.772,2,1,0.5
IngA_DN1885_polar,367,34702,358683,0.716,3,1,1
IngA_DN1885_polar,397,95572,987848,0.79,7,1,0.5
IngA_DN1885_polar,405,53155,549418,0.5,4,1,1
IngA_DN1885_polar,406,612782,6333774,0.552,10,1,1
IngA_DN1885_polar,418,17939,185420,0.97,1,1,0.333
IngA_DN1885_polar,419,137988,1426260,0.719,3,2,0.5
IngA_DN1885_polar,433,964029,9964298,0.99,7,1,1
IngA_DN1885_polar,444,14774,152710,0.999,1,1,1
IngA_DN1885_polar,458,6675,68993,1,1,1,1
IngA_DN1885_polar,459,485706,5020307,0.958,2,2,1
IngA_DN1885_polar,464,12073,124794,1,1,1,1
IngA_DN1885_polar,484,48430,500586,0.588,1,1,0.333
IngA_DN1885_polar,485,41475,428691,0.91,2,2,0.4
IngA_DN1885_polar,518,16866,174337,0.779,2,2,0.667
IngA_DN1885_polar,558,10915,112827,0.991,1,1,0.333
IngA_DN1885_polar,561,41475,428691,0.557,2,2,0.667
IngA_DN1885_polar,573,15903,164376,0.999,1,1,1
IngA_DN1885_polar,585,450699,4658469,0.987,4,2,1
IngA_DN1885_polar,663,76770,793502,0.966,6,1,1
IngA_DN1885_polar,666,40427,417864,0.781,3,3,0.75
IngA_DN1885_polar,673,29776,307772,0.922,1,1,0.333
IngA_DN1885_polar,676,29776,307772,0.993,1,1,0.333
IngA_DN1885_polar,694,564351,5833193,0.999,2,2,1
IngA_DN1885_polar,704,48430,500586,0.988,1,1,0.5
IngA_DN1885_polar,723,11543,119315,0.919,2,1,0.5
IngA_DN1885_polar,736,18730,193599,0.95,2,2,0.5
IngA_DN1885_polar,852,376210,3888551,0.578,5,1,1
IngA_DN1885_polar,880,133888,1383887,0.897,1,1,0.333
IngA_DN1885_polar,887,62603,647072,0.851,1,1,0.333
IngA_DN1885_polar,896,7582,78376,0.999,1,1,1
IngA_DN1885_polar,912,4681,48386,0.997,1,1,0.5
IngA_DN1885_polar,950,3784,39114,0.996,1,1,0.5
IngA_DN1885_polar,958,30405,314278,0.993,1,1,0.333
IngA_DN1885_polar,1001,15540,160632,0.749,2,2,1
IngA_DN1885_polar,1015,8207,84835,0.997,1,1,0.5
IngA_DN1885_polar,1083,33554,346820,0.963,2,1,1
IngA_DN1885_polar,1095,15012,155166,1,1,1,1
IngA_DN1885_polar,1110,18437,190567,0.625,2,1,1
IngA_DN1885_polar,1144,8499,87850,0.566,1,1,0.333
IngA_DN1885_polar,1155,6498,67173,0.992,1,1,0.5
IngA_DN1885_polar,1193,5168,53422,0.999,1,1,1
IngA_DN1885_polar,1209,16495,170499,1,1,1,1
IngA_DN1885_polar,1213,11541,119290,0.965,1,1,0.5
IngA_DN1885_polar,1234,7758,80189,1,1,1,1
IngA_DN1885_polar,1244,157893,1631997,1,1,1,1
IngA_DN1885_polar,1279,15540,160632,0.892,2,2,1
IngA_DN1885_polar,1292,24720,255512,0.573,2,1,1
IngA_DN1885_polar,1332,4841,50046,0.998,1,1,0.5
IngA_DN1885_polar,1411,8254,85320,1,1,1,1
IngA_DN1885_polar,1414,14897,153982,1,1,1,1
IngA_DN1885_polar,1417,19117,197602,1,1,1,1
IngA_DN1885_polar,1453,6624,68471,1,1,1,1
IngA_DN1885_polar,1461,6230,64397,0.998,1,1,0.5
IngA_DN1885_polar,1534,40938,423139,0.92,2,2,1
IngA_DN1885_polar,1542,68760,710715,0.506,1,1,0.5
IngA_DN1885_polar,1555,7482,77336,0.966,1,1,0.5
