compound_number,feature_number,TIC,rel_abundance,mz,rt
345,231_0,5123.460000,0.002010,165.074630,2.007762
346,4267_1,15576.930000,0.366994,952.528649,3.917889
346,4271_1,9746.600000,0.229631,953.022020,4.470821
346,4275_0,8143.330000,0.191857,953.524971,4.521087
346,4276_0,6914.220000,0.162899,953.544131,4.521087
346,3714_0,2063.620000,0.048619,872.008548,4.521087
347,261_1,2210273.760000,0.552371,173.006890,5.777750
347,41_2,1292907.410000,0.323111,111.009765,5.828017
347,180_0,341177.360000,0.085264,154.996445,5.777750
347,91_2,148980.880000,0.037232,129.020210,5.928550
347,265_1,8090.850000,0.002022,174.012793,6.582014
348,2149_0,261938.690000,0.772232,559.273456,5.124285
348,2151_0,29679.790000,0.087500,560.279358,4.973486
348,230_2,14275.340000,0.042086,165.041100,5.275085
348,2276_0,13675.530000,0.040317,582.279883,4.973486
348,2278_0,8489.590000,0.025029,582.778044,4.973486
348,2152_0,5540.850000,0.016335,560.782309,4.973486
348,4952_0,3897.710000,0.011491,1074.558994,5.074019
348,4629_1,1699.340000,0.005010,1014.530564,5.124285
349,4845_0,209905.100000,0.422870,1055.988117,7.134946
349,4846_0,182578.060000,0.367818,1056.481489,7.134946
349,4850_0,60501.530000,0.121885,1056.989230,7.084679
349,4853_0,13927.360000,0.028058,1057.477811,7.436545
349,4702_0,9551.700000,0.019243,1030.452564,7.134946
349,4698_0,7201.640000,0.014508,1029.940032,7.134946
349,4812_0,6699.500000,0.013497,1047.471476,7.436545
349,4733_0,6017.270000,0.012122,1033.470271,7.436545
350,4073_1,129754.300000,0.436930,923.189825,6.380948
350,4079_1,57184.800000,0.192562,924.186148,6.380948
350,3105_0,36691.400000,0.123553,771.174005,6.531748
350,4091_0,15285.400000,0.051472,925.187260,6.531748
350,1481_2,14209.940000,0.047850,423.069465,6.531748
350,60_0,8866.030000,0.029855,117.035600,6.531748
350,3108_0,8831.010000,0.029737,772.179908,6.531748
350,16_1,8691.020000,0.029266,98.024043,6.984146
350,135_0,8220.350000,0.027681,142.015513,6.883613
350,3025_0,7462.020000,0.025127,753.163560,6.531748
350,613_1,1771.820000,0.005966,244.066718,6.531748
351,4619_0,231497.140000,0.701097,1012.552289,3.063359
351,4625_0,60873.540000,0.184358,1013.558191,2.962826
351,4360_0,20086.860000,0.060834,966.539434,3.063359
351,4362_0,8510.610000,0.025775,967.042385,2.862293
351,4630_0,6906.300000,0.020916,1014.559304,2.862293
351,4366_0,2318.080000,0.007020,967.545336,3.063359
352,2416_0,268735.670000,0.771585,607.072985,1.354298
352,2422_0,28597.960000,0.082109,608.074098,1.354298
352,1685_0,21739.400000,0.062417,465.010810,1.505097
352,1703_0,15501.860000,0.044508,469.048790,1.354298
352,2313_0,13715.720000,0.039380,589.062540,1.354298
353,1071_0,442499.450000,0.820986,335.096105,6.481481
353,181_2,42638.480000,0.079109,155.034765,6.431215
353,2749_0,30299.590000,0.056216,671.201666,6.582014
353,1075_1,13017.000000,0.024151,336.106798,6.582014
353,616_1,10530.550000,0.019538,245.043880,6.531748
354,1712_1,785414.970000,0.356160,471.055805,3.767090
354,973_2,556890.300000,0.252532,319.044775,4.219488
354,1323_1,265307.000000,0.120308,388.116748,4.269755
354,872_2,194665.300000,0.088274,301.034330,3.767090
354,1722_2,163429.400000,0.074110,472.061708,3.867623
354,2077_0,122007.580000,0.055326,541.119310,3.867623
