number pathway,Major_Group,Group,Source,Compound_Name,,cluster.index,column,Cluster_MZ,Cluster_RT,,
21,Flavonol_monomer,Flavonol_monomer_simple,GNPS_Exact_Mass,quercetin,,2383,C18,301.03433,11.2,,
21,Flavonol_monomer,Flavonol_monomer_simple,Known_mass_RT_match,quercetin,,2766,C18,301.03433,15,,
22,Flavonol_monomer,Flavonol_monomer_Derived,GNPS_Exact_Mass,"5,7-dihydroxy-2-(4-hydroxy-3-methoxyphenyl)-3-[3,4,5-trihydroxy-6-[[(2R,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxymethyl]oxan-2-yl]oxychromen-4-one",,3535,C18,623.162635,12.4,,
22,Flavonol_monomer,Flavonol_monomer_Derived,GNPS_Exact_Mass,Isorhamnetin 3-galactoside,,3291,C18,477.1008,12.7,,
22,Flavonol_monomer,Flavonol_monomer_Derived,GNPS_Exact_Mass,Quercetin-O-(O-galloyl)-pentoside,,3327,C18,585.08683,14.3,,
24,Flavonol_monomer,Flavonol_monomer_Derived,In_Silico,IN_821_DiHyMCCC,,50,C18,757.15364,8.1,,
25,Flavonol_monomer,Flavonol_monomer_simple,GNPS_Exact_Mass,myricetin,,76,C18,317.02818,13.5,,
26,Flavonol_monomer,Flavonol_monomer_Derived,KNown_mass_RT_match,myrecitrin 3-o-(2-galloyl)-rhamnopyranoside,,4412,C18,615.096255,14.6,,
26,Flavonol_monomer,Flavonol_monomer_Derived,Known_mass_RT_match,myricetin 3-O-rhamnoside,,340,C18,463.085225,11.1,,
27,flavan3ol_monomer,catechin_monomer_simple,Known_mass_RT_match,catechin,,123,C18,289.06888,7.1,,
27,flavan3ol_monomer,catechin_monomer_simple,Known_mass_RT_match,epicatechin,,3212,C18,289.06888,17,,
27,flavan3ol_monomer,catechin_monomer_simple,Known_mass_RT_match,epicatechin,,316,C18,289.06888,8.6,,
28,flavan3ol_monomer,catechin_monomer_derived,GNPS_Exact_Mass,epicatechin gallate,,88,C18,441.07991,11.1,,
28,flavan3ol_monomer,catechin_monomer_derived,GNPS_Exact_Mass,epicatechin gallate,,5795,C18,441.07991,13.8,,
28,flavan3ol_monomer,catechin_monomer_derived,GNPS_Exact_Mass,catechin-pyranose,,576,C18,451.119775,6.6,,
28,flavan3ol_monomer,catechin_monomer_derived,Known_mass_RT_match,catechin 3-O-(6-O-galloyl)-glucose,,4925,C18,603.135595,8.3,,
29,flavan3ol_monomer,afzelechin_monomer_simple,Known_mass_RT_match,afzelechin,,1310,C18,273.07503,7.8,,
31,flavan3ol_monomer,gallocatechin_monomer_simple,GNPS_Exact_Mass,Epigallocatechin,,572,C18,305.06752,3.8,,
32,flavan3ol_monomer,gallocatechin_monomer_derived,GNPS_Exact_Mass,epigallocatechin gallate,,10441,polar,457.07855,1.5,,
32,flavan3ol_monomer,gallocatechin_monomer_derived,GNPS_Exact_Mass,epigallocatechin gallate,,6681,C18,457.07855,7.2,,
33,flavan3ol_polymer,catechin_polymer_simple,In_Silico,catechin_quadrimer,UNPD108931,1021,C18,1153.258891,9.7,,
33,flavan3ol_polymer,catechin_polymer_simple,In_Silico,catechin_quadrimer,UNPD108931,1891,C18,1153.258891,9.7,,
33,flavan3ol_polymer,catechin_polymer_simple,In_Silico,catechin_trimer,UNPD68672,7481,C18,881.191,9.8,,
33,flavan3ol_polymer,catechin_polymer_simple,GNPS_Exact_Mass,catechin_trimer,,3977,C18,865.19715,4.2,,
33,flavan3ol_polymer,catechin_polymer_simple,GNPS_Exact_Mass,catechin_trimer,,1076,C18,865.19715,7.6,,
33,flavan3ol_polymer,catechin_polymer_simple,GNPS_Exact_Mass,catechin_trimer,,261,C18,865.19715,9.4,,
33,flavan3ol_polymer,catechin_polymer_simple,GNPS_Exact_Mass,catechin_trimer,,909,C18,865.197151,7.6,,
33,flavan3ol_polymer,catechin_polymer_simple,GNPS_Exact_Mass,catechin-dimer,,251,C18,577.13541,6.8,,
33,flavan3ol_polymer,catechin_polymer_simple,GNPS_Exact_Mass,catechin-dimer,,150,C18,577.13541,8.3,,
33,flavan3ol_polymer,catechin_polymer_simple,GNPS_Exact_Mass,catechin-dimer,,653,C18,577.13541,9.8,,
33,flavan3ol_polymer,catechin_polymer_simple,GNPS_Exact_Mass,catechin-dimer,,678,C18,577.13541,11.3,,
34,flavan3ol_polymer,catechin_polymer_derived,In_Silico,catechin_dimer_derived,IN_235_DiCatBG,1107,C18,729.14644,13,,
34,flavan3ol_polymer,catechin_polymer_derived,In_Silico,catechin_dimer_derived,IN_243_DiCatBHH,3635,C18,901.237201,7.4,,
34,flavan3ol_polymer,catechin_polymer_derived,In_Silico,catechin_dimer_derived,IN_250_DiCatBDOHG,2557,C18,875.203486,10.4,,
34,flavan3ol_polymer,catechin_polymer_derived,In_Silico,catechin_dimer_derived,IN_250_DiCatBDOHG,2343,C18,875.203486,11.3,,
34,flavan3ol_polymer,catechin_polymer_derived,In_Silico,catechin_dimer_derived,IN_251_DiCatBDOHCin,2447,C18,853.236491,13.4,,
34,flavan3ol_polymer,catechin_polymer_derived,In_Silico,catechin_dimer_derived,IN_254_DiCatBCCin,7200,C18,853.21254,19.4,,
34,flavan3ol_polymer,catechin_polymer_derived,In_Silico,catechin_dimer_derived,IN_255_DiCatBGG,324,C18,881.15268,12.5,,
