"id","species_code","itteration","Raos_Q","D_q","MD_q","FD_q","ncomps","updated"
"573","N6_1","1","0.868967","70.6006","61.3496","4331.31","630","2020-11-16 18:54:07"
"574","N6_3","1","0.850953","62.3384","53.047","3306.87","379","2020-11-16 18:54:07"
"575","N54_3","1","0.893578","11.6001","10.3656","120.243","185","2020-11-16 18:54:07"
"576","N65_13","1","0.894918","18.6423","16.6833","311.015","198","2020-11-16 18:54:08"
"577","N6_5","1","0.875061","73.6008","64.4052","4740.27","643","2020-11-16 18:54:08"
"578","N65_10","1","0.860968","18.7515","16.1445","302.733","202","2020-11-16 18:54:08"
"579","N6_2","1","0.838506","77.5755","65.0475","5046.09","494","2020-11-16 18:54:08"
"580","N6_4","1","0.843669","68.1101","57.4624","3913.77","505","2020-11-16 18:54:09"
"581","N65_14","1","0.853031","20.0048","17.0647","341.375","193","2020-11-16 18:54:09"
"582","N65_8","1","0.773457","16.3683","12.6602","207.225","173","2020-11-16 18:54:09"
"583","N65_18","1","0.702995","18.6697","13.1247","245.033","121","2020-11-16 18:54:09"
"584","N66_5","1","0.787307","8.13709","6.40639","52.1294","79","2020-11-16 18:54:10"
"585","N66_14","1","0.889311","16.5312","14.7014","243.033","132","2020-11-16 18:54:11"
"586","N67_6","1","0.564734","15.9773","9.02296","144.163","165","2020-11-16 18:54:11"
"587","N67_3","1","0.645293","12.7079","8.20034","104.209","137","2020-11-16 18:54:11"
"588","N66_8","1","0.835856","10.3775","8.67406","90.0148","88","2020-11-16 18:54:11"
"589","N66_4","1","0.863088","10.8675","9.3796","101.933","92","2020-11-16 18:54:11"
"590","N66_9","1","0.917384","17.3955","15.9584","277.605","109","2020-11-16 18:54:11"
"591","N67_2","1","0.568229","10.9901","6.24492","68.6326","125","2020-11-16 18:54:11"
"592","N67_1","1","0.532942","10.1532","5.41108","54.9399","133","2020-11-16 18:54:12"
"593","N7_1","1","0.894454","24.5284","21.9396","538.143","155","2020-11-16 18:54:12"
"594","N67_4","1","0.553544","9.16337","5.07233","46.4796","136","2020-11-16 18:54:12"
"595","N7_5","1","0.891868","24.981","22.2797","556.57","158","2020-11-16 18:54:12"
"596","N7_2","1","0.920882","23.3655","21.5169","502.754","135","2020-11-16 18:54:12"
"597","N7_4","1","0.889123","27.2903","24.2645","662.185","158","2020-11-16 18:54:13"
"598","N8_1","1","0.844149","14.682","12.3938","181.965","187","2020-11-16 18:54:13"
"599","N8_3","1","0.891212","19.8988","17.734","352.885","187","2020-11-16 18:54:13"
"600","N9_1","1","0.904889","19.2419","17.4118","335.037","137","2020-11-16 18:54:13"
"601","N8_2","1","0.902194","19.3308","17.4402","337.133","168","2020-11-16 18:54:13"
"602","N7_3","1","0.87517","32.2856","28.2554","912.244","220","2020-11-16 18:54:13"
"603","N8_4","1","0.917462","18.5039","16.9766","314.134","236","2020-11-16 18:54:13"
"604","N9_6","1","0.923896","21.1388","19.5301","412.843","134","2020-11-16 18:54:14"
"605","N8_5","1","0.853751","15.2885","13.0525","199.553","181","2020-11-16 18:54:14"
"606","N9_2","1","0.932669","16.218","15.126","245.312","115","2020-11-16 18:54:14"
"607","N9_5","1","0.932548","16.8215","15.6869","263.878","135","2020-11-16 18:54:14"
"608","T05_3","1","0.911232","18.0888","16.4831","298.16","244","2020-11-16 18:54:14"
"609","N9_4","1","0.93601","26.5954","24.8936","662.054","134","2020-11-16 18:54:15"
"610","T07_1","1","0.87787","9.98995","8.76988","87.6106","116","2020-11-16 18:54:15"
"611","T05_1","1","0.923232","29.3853","27.1295","797.209","216","2020-11-16 18:54:15"
"612","T05_4","1","0.917903","35.2244","32.3326","1138.89","320","2020-11-16 18:54:15"
"613","T07_3","1","0.916751","13.0965","12.0062","157.239","125","2020-11-16 18:54:16"
"614","T05_5","1","0.920282","27.3999","25.2156","690.905","270","2020-11-16 18:54:16"
"615","T07_2","1","0.853022","7.64655","6.52268","49.876","90","2020-11-16 18:54:16"
"616","T05_6","1","0.927492","34.9011","32.3705","1129.77","269","2020-11-16 18:54:16"
"617","T09_2","1","0.852018","15.8995","13.5467","215.386","171","2020-11-16 18:54:17"
"618","T09_1","1","0.820175","13.2454","10.8635","143.891","165","2020-11-16 18:54:17"
"619","T09_4","1","0.882428","16.3069","14.3896","234.65","138","2020-11-16 18:54:17"
"620","T11_1","1","0.886013","12.7422","11.2898","143.857","128","2020-11-16 18:54:17"
"621","T07_4","1","0.894248","10.8636","9.71472","105.536","106","2020-11-16 18:54:17"
"622","T09_3","1","0.768085","8.89309","6.83065","60.7456","176","2020-11-16 18:54:17"
"623","T09_6","1","0.680117","6.63048","4.5095","29.9002","76","2020-11-16 18:54:18"
"624","T11_5","1","0.871771","10.0278","8.74192","87.6619","115","2020-11-16 18:54:18"
"625","T11_2","1","0.870493","8.84835","7.70242","68.1537","104","2020-11-16 18:54:18"
"626","T11_3","1","0.860812","8.23297","7.08703","58.3473","109","2020-11-16 18:54:18"
"627","T18_3","1","0.910458","24.4665","22.2757","545.008","201","2020-11-16 18:54:19"
"628","T12_2","1","0.858577","9.37494","8.0491","75.4599","81","2020-11-16 18:54:19"
"629","T11_4","1","0.865966","8.53532","7.39129","63.087","110","2020-11-16 18:54:19"
"630","T12_1","1","0.902266","14.0317","12.6604","177.647","101","2020-11-16 18:54:19"
"631","T18_7","1","0.921707","25.6246","23.6184","605.211","194","2020-11-16 18:54:19"
"632","T19_2","1","0.892416","15.3902","13.7345","211.376","135","2020-11-16 18:54:19"
"633","T18_4","1","0.927561","18.8926","17.524","331.074","246","2020-11-16 18:54:19"
"634","T18_8","1","0.908584","13.0867","11.8903","155.605","181","2020-11-16 18:54:19"
