species,7,9,8
IngA,0,0,0
IngC,0,0,0
IngF,32688790.6,0,0
IngG,0,0,0
IngM,0,0,0
IngMu,0,0,0
IngO,0,0,0
IngP,0,0,0
IngPu,0,0,0
IngQ,0,0,0
IngR,0,0,0
IngS,0,0,0
IngSp,0,0,0
IngU,0,0,0
IngV,0,0,0
LA1,0,0,0
LA10,0,0,0
LA12,0,0,0
LA13,0,0,0
LA17,0,0,0
LA18,0,0,0
LA19,0,0,0
LA2,44342302.07,0,0
LA20a,0,0,0
LA20b,0,0,0
LA22,0,0,0
LA23,0,0,0
LA25,0,0,0
LA26,0,0,0
LA28,0,0,0
LA3,0,0,0
LA31,0,0,0
LA32,0,0,0
LA33,0,0,0
LA34,0,0,0
LA35,0,8247701,0
LA36,0,0,0
LA37,0,0,0
LA4,0,0,0
LA41,0,0,0
LA42,0,0,0
LA43,0,0,0
LA44,0,0,0
LA45,0,0,0
LA46,0,0,0
LA47,0,0,0
LA48,0,0,0
LA49,0,0,0
LA52,0,0,0
LA55,0,0,0
LA59,0,0,0
LA6,0,0,0
LA60,54942293.2,0,4.00E+05
LA61,0,0,0
LA62,0,0,0
LA7,0,0,0
LA8,0,0,0
LA9,0,0,0
M14,0,0,0
M15,0,0,0
M16,0,0,0
M18,0,0,0
M24,0,0,0
M25,0,0,0
M26,0,0,0
M27b,0,0,0
M28,0,0,0
M29,0,0,0
M31,0,0,0
M32,0,0,0
M36,0,0,0
M39b,0,0,0
M4,46268216.4,0,0
M40a,0,0,0
M40b,0,0,0
M40c,0,0,0
M40d,0,0,0
M41,0,0,0
M5,0,0,0
M51,0,0,0
M52,0,0,0
M57,0,15060060,0
M59,0,0,0
M60,0,0,0
M61,0,0,0
M62,0,0,0
M63,0,0,0
M65,0,7818501,0
M68,21736143.5,0,8.00E+04
M69,0,0,0
M70,0,0,0
M71,0,0,0
M8,0,0,0
M9,0,0,0
N1,0,0,0
N10,0,6932344,0
N11,0,0,0
N12,0,0,0
N13,0,0,0
N14,0,0,0
N15,0,0,0
N16,0,0,0
N18,0,0,0
N19,0,0,0
N20,0,0,0
N21,0,0,0
N22,0,0,0
N23,0,6905113,0
N24,0,0,0
N25,51476439.5,0,7.00E+04
N26,0,0,0
N27,0,0,0
N28,0,0,0
N29,0,0,0
N3,0,0,0
N30,243878424,0,0
N31,0,0,0
N32,0,0,0
N34,0,0,0
N35,0,0,0
N36,0,0,0
N37,0,0,0
N38,0,0,0
N39,0,0,0
N4,0,0,0
N40,0,0,0
N41,0,0,0
N42,0,0,0
N46,34550678.2,0,1.00E+04
N5,0,0,0
N50,0,0,0
N53,0,0,0
N54,0,0,0
N6,0,0,0
N65,0,0,0
N66,0,0,0
N67,0,0,0
N7,0,0,0
N8,57985006.6,0,0
N9,0,0,0
T05,0,0,0
T07,0,0,0
T09,0,0,0
T11,0,0,0
T12,0,0,0
T13,0,0,0
T18,0,0,0
T19,0,0,0
T20,47839978.2,0,1.00E+05
T21a,0,0,0
T22,0,0,0
T23,10674732,0,0
T25,0,0,0
T29,0,0,0
T33,0,0,0
T35,0,0,0
T49,0,0,0
T50,0,0,0
T51,0,0,0
T55,0,0,0
T56,0,0,0
T57,0,0,0
T58,0,0,0
T59,0,0,0
T60,0,0,0
T62,0,0,0
T63,0,0,0
T64,0,0,0
T65,0,0,0
T67a,0,0,0
T68,0,0,0
T69,0,0,0
T70,0,0,0
T71,0,0,0
T72,0,0,0
T73,0,0,0
T74,0,0,0
T75,0,0,0
T76,0,0,0
T78,0,0,0
T82,0,0,0
T83,0,0,0
T84,0,0,0
T85,0,0,0
T86,0,0,0
T87,0,1278957,0
